# t[days] Lbol[erg/s]
1.22449 1.18344e+42
1.42857 1.18344e+42
1.63265 1.09605e+42
1.83673 1.00877e+42
2.04082 9.18303e+41
2.24490 8.32055e+41
2.44898 7.42560e+41
2.65306 6.73069e+41
2.85714 6.07980e+41
3.06122 5.56688e+41
3.26531 5.03833e+41
3.46939 4.62330e+41
3.67347 4.16748e+41
3.87755 3.83835e+41
4.08163 3.54290e+41
4.28571 3.23292e+41
4.48980 3.00891e+41
4.69388 2.78282e+41
4.89796 2.57704e+41
5.10204 2.39630e+41
5.30612 2.23297e+41
5.51020 2.02729e+41
5.71429 1.93903e+41
5.91837 1.79627e+41
