# t[days] Lbol[erg/s]
1.22449 1.25244e+42
1.42857 1.25244e+42
1.63265 1.15132e+42
1.83673 1.04775e+42
2.04082 9.50438e+41
2.24490 8.64217e+41
2.44898 7.75587e+41
2.65306 6.85833e+41
2.85714 6.23209e+41
3.06122 5.66630e+41
3.26531 5.17115e+41
3.46939 4.64785e+41
3.67347 4.28090e+41
3.87755 3.91359e+41
4.08163 3.57414e+41
4.28571 3.31712e+41
4.48980 3.03618e+41
4.69388 2.79357e+41
4.89796 2.61693e+41
5.10204 2.41369e+41
5.30612 2.26768e+41
5.51020 2.08692e+41
5.71429 1.92609e+41
5.91837 1.82292e+41
