# t[days] u g r i z y J H K
1.22449 -13.179 -14.594 -14.928 -14.663 -14.149 -13.525 -12.518 -12.264 -11.990 
1.42857 -13.179 -14.594 -14.928 -14.663 -14.149 -13.525 -12.518 -12.392 -12.207 
1.63265 -12.912 -14.377 -14.734 -14.445 -13.867 -13.414 -12.518 -12.392 -12.517 
1.83673 -12.625 -14.185 -14.563 -14.304 -13.788 -13.305 -12.501 -12.436 -12.534 
2.04082 -12.407 -14.030 -14.421 -14.165 -13.689 -13.173 -12.502 -12.493 -12.625 
2.24490 -12.112 -13.872 -14.255 -13.998 -13.545 -13.146 -12.502 -12.505 -12.630 
2.44898 -11.850 -13.680 -14.140 -13.914 -13.465 -13.126 -12.502 -12.571 -12.663 
2.65306 -11.575 -13.496 -13.995 -13.810 -13.392 -13.014 -12.504 -12.676 -12.825 
2.85714 -11.418 -13.353 -13.897 -13.743 -13.360 -12.971 -12.579 -12.676 -12.874 
3.06122 -11.099 -13.134 -13.757 -13.610 -13.250 -12.948 -12.580 -12.683 -12.914 
3.26531 -10.810 -12.972 -13.624 -13.543 -13.204 -12.948 -12.579 -12.772 -12.921 
3.46939 -10.479 -12.767 -13.472 -13.455 -13.126 -12.784 -12.598 -12.805 -13.002 
3.67347 -10.169 -12.545 -13.339 -13.347 -13.066 -12.784 -12.557 -12.851 -13.013 
3.87755 -9.944 -12.390 -13.190 -13.218 -13.000 -12.779 -12.557 -12.869 -13.069 
4.08163 -9.673 -12.114 -13.020 -13.116 -12.896 -12.721 -12.517 -12.851 -13.082 
4.28571 -9.307 -11.891 -12.868 -12.989 -12.780 -12.618 -12.509 -12.887 -13.082 
4.48980 -9.015 -11.680 -12.711 -12.872 -12.690 -12.578 -12.420 -12.869 -13.093 
4.69388 -8.709 -11.457 -12.512 -12.714 -12.563 -12.456 -12.384 -12.869 -13.133 
4.89796 -8.316 -11.231 -12.325 -12.582 -12.516 -12.330 -12.344 -12.859 -13.133 
5.10204 -8.094 -11.013 -12.119 -12.454 -12.399 -12.283 -12.283 -12.846 -13.133 
5.30612 -7.944 -10.731 -11.927 -12.280 -12.275 -12.073 -12.237 -12.777 -13.130 
5.51020 -7.557 -10.497 -11.745 -12.092 -12.146 -12.064 -12.151 -12.744 -13.108 
5.71429 -7.236 -10.204 -11.536 -11.982 -11.956 -11.877 -12.051 -12.709 -13.074 
5.91837 -6.865 -10.071 -11.354 -11.839 -11.826 -11.738 -11.962 -12.669 -13.046 
