# t[days] Lbol[erg/s]
1.22449 1.58762e+41
1.42857 1.58762e+41
1.63265 1.31295e+41
1.83673 1.14573e+41
2.04082 1.00565e+41
2.24490 8.88987e+40
2.44898 7.91721e+40
2.65306 7.10186e+40
2.85714 6.48142e+40
3.06122 5.93520e+40
3.26531 5.38574e+40
3.46939 4.88506e+40
3.67347 4.46512e+40
3.87755 4.05501e+40
4.08163 3.75148e+40
4.28571 3.44384e+40
4.48980 3.20676e+40
4.69388 2.95886e+40
4.89796 2.75375e+40
5.10204 2.59030e+40
5.30612 2.38505e+40
5.51020 2.23770e+40
5.71429 2.07143e+40
5.91837 1.91112e+40
