# t[days] Lbol[erg/s]
1.22449 4.99111e+41
1.42857 5.32362e+41
1.63265 5.36356e+41
1.83673 5.36356e+41
2.04082 5.14271e+41
2.24490 4.65528e+41
2.44898 4.35935e+41
2.65306 4.03523e+41
2.85714 3.73398e+41
3.06122 3.53211e+41
3.26531 3.26549e+41
3.46939 3.08360e+41
3.67347 2.85916e+41
3.87755 2.60574e+41
4.08163 2.41783e+41
4.28571 2.23346e+41
4.48980 2.07307e+41
4.69388 1.93091e+41
4.89796 1.80008e+41
5.10204 1.67956e+41
5.30612 1.58441e+41
5.51020 1.46284e+41
5.71429 1.35328e+41
5.91837 1.28818e+41
