# t[days] Lbol[erg/s]
1.22449 1.25049e+42
1.42857 1.25049e+42
1.63265 1.16595e+42
1.83673 1.06578e+42
2.04082 9.63155e+41
2.24490 8.62800e+41
2.44898 7.82122e+41
2.65306 7.00817e+41
2.85714 6.38417e+41
3.06122 5.76163e+41
3.26531 5.18367e+41
3.46939 4.78999e+41
3.67347 4.36509e+41
3.87755 3.99880e+41
4.08163 3.63895e+41
4.28571 3.32505e+41
4.48980 3.12279e+41
4.69388 2.85473e+41
4.89796 2.63092e+41
5.10204 2.46773e+41
5.30612 2.30026e+41
5.51020 2.14712e+41
5.71429 1.97689e+41
5.91837 1.86546e+41
