# t[days] Lbol[erg/s]
1.22449 8.47095e+41
1.42857 8.47095e+41
1.63265 7.55174e+41
1.83673 6.82617e+41
2.04082 6.07097e+41
2.24490 5.38142e+41
2.44898 4.73174e+41
2.65306 4.27295e+41
2.85714 3.83913e+41
3.06122 3.46518e+41
3.26531 3.17257e+41
3.46939 2.92149e+41
3.67347 2.66490e+41
3.87755 2.43061e+41
4.08163 2.23900e+41
4.28571 2.08359e+41
4.48980 1.93848e+41
4.69388 1.79136e+41
4.89796 1.64295e+41
5.10204 1.53679e+41
5.30612 1.42370e+41
5.51020 1.34574e+41
5.71429 1.22570e+41
5.91837 1.17563e+41
