# t[days] u g r i z y J H K
1.22449 -14.754 -16.335 -17.026 -17.058 -16.829 -16.536 -15.637 -14.983 -14.484 
1.42857 -14.754 -16.335 -17.026 -17.058 -16.829 -16.536 -15.637 -14.983 -14.617 
1.63265 -14.662 -16.287 -16.963 -16.999 -16.745 -16.484 -15.516 -15.032 -14.732 
1.83673 -14.523 -16.200 -16.871 -16.911 -16.706 -16.432 -15.454 -14.999 -14.742 
2.04082 -14.310 -16.118 -16.794 -16.827 -16.630 -16.335 -15.414 -14.999 -14.733 
2.24490 -14.180 -16.012 -16.692 -16.735 -16.566 -16.233 -15.275 -14.935 -14.742 
2.44898 -13.976 -15.881 -16.564 -16.608 -16.428 -16.159 -15.242 -14.869 -14.810 
2.65306 -13.727 -15.764 -16.486 -16.537 -16.322 -16.053 -15.151 -14.871 -14.810 
2.85714 -13.551 -15.623 -16.354 -16.432 -16.186 -15.890 -15.111 -14.871 -14.791 
3.06122 -13.413 -15.492 -16.252 -16.312 -16.140 -15.847 -15.099 -14.871 -14.772 
3.26531 -13.180 -15.337 -16.136 -16.198 -16.013 -15.756 -15.038 -14.851 -14.772 
3.46939 -12.943 -15.234 -16.012 -16.110 -15.938 -15.650 -14.947 -14.828 -14.800 
3.67347 -12.728 -15.066 -15.883 -16.001 -15.842 -15.568 -14.925 -14.828 -14.817 
3.87755 -12.517 -14.950 -15.783 -15.888 -15.743 -15.545 -14.851 -14.828 -14.817 
4.08163 -12.297 -14.785 -15.667 -15.806 -15.663 -15.469 -14.835 -14.837 -14.817 
4.28571 -12.031 -14.643 -15.548 -15.686 -15.592 -15.344 -14.813 -14.780 -14.892 
4.48980 -11.794 -14.487 -15.451 -15.610 -15.433 -15.313 -14.771 -14.826 -14.893 
4.69388 -11.557 -14.327 -15.335 -15.520 -15.409 -15.207 -14.761 -14.826 -14.893 
4.89796 -11.317 -14.134 -15.162 -15.431 -15.257 -15.140 -14.663 -14.826 -14.835 
5.10204 -10.971 -13.996 -15.064 -15.318 -15.226 -15.090 -14.630 -14.775 -14.835 
5.30612 -10.807 -13.780 -14.931 -15.258 -15.142 -14.940 -14.600 -14.736 -14.837 
5.51020 -10.532 -13.660 -14.812 -15.097 -15.061 -14.917 -14.581 -14.736 -14.858 
5.71429 -10.297 -13.490 -14.665 -15.026 -15.004 -14.865 -14.518 -14.711 -14.858 
5.91837 -9.928 -13.334 -14.552 -14.884 -14.855 -14.774 -14.475 -14.702 -14.858 
