# t[days] Lbol[erg/s]
0.51724 5.33150e+40
1.03448 5.33150e+40
1.55172 2.03008e+40
2.06897 1.11464e+40
2.58621 6.98918e+39
3.10345 4.89559e+39
3.62069 3.56668e+39
4.13793 2.76310e+39
4.65517 2.08697e+39
5.17241 1.75357e+39
5.68966 1.35920e+39
6.20690 1.18937e+39
6.72414 9.84114e+38
7.24138 7.71370e+38
7.75862 6.94737e+38
8.27586 5.90531e+38
8.79310 5.29255e+38
9.31034 4.44527e+38
9.82759 3.90328e+38
10.34483 3.42738e+38
10.86207 3.00950e+38
11.37931 2.64257e+38
11.89655 2.32038e+38
12.41379 2.03747e+38
12.93103 1.78905e+38
13.44828 1.57093e+38
13.96552 1.37939e+38
14.48276 1.21121e+38
15.00000 1.06354e+38
