# t[days] Lbol[erg/s]
0.51724 5.50310e+41
1.03448 1.50049e+42
1.55172 1.50049e+42
2.06897 1.17431e+42
2.58621 6.57113e+41
3.10345 3.47736e+41
3.62069 1.90568e+41
4.13793 1.10675e+41
4.65517 6.43063e+40
5.17241 4.00960e+40
5.68966 2.88033e+40
6.20690 2.43448e+40
6.72414 2.14774e+40
7.24138 2.08585e+40
7.75862 1.93811e+40
8.27586 1.64033e+40
8.79310 1.57336e+40
9.31034 1.43271e+40
9.82759 1.34898e+40
10.34483 1.27015e+40
10.86207 1.19592e+40
11.37931 1.12603e+40
11.89655 1.06022e+40
12.41379 9.98263e+39
12.93103 9.39924e+39
13.44828 8.84995e+39
13.96552 8.33275e+39
14.48276 7.84578e+39
15.00000 7.38727e+39
