# t[days] Lbol[erg/s]
0.51724 1.25777e+41
1.03448 1.25777e+41
1.55172 5.93883e+40
2.06897 2.75660e+40
2.58621 1.87351e+40
3.10345 1.45743e+40
3.62069 1.12107e+40
4.13793 8.21563e+39
4.65517 7.47352e+39
5.17241 5.80780e+39
5.68966 4.61193e+39
6.20690 4.23709e+39
6.72414 3.16093e+39
7.24138 2.57094e+39
7.75862 2.20431e+39
8.27586 2.07211e+39
8.79310 1.62119e+39
9.31034 1.30285e+39
9.82759 1.03838e+39
10.34483 8.27600e+38
10.86207 6.59604e+38
11.37931 5.25710e+38
11.89655 4.18995e+38
12.41379 3.33943e+38
12.93103 2.66155e+38
13.44828 2.12128e+38
13.96552 1.69068e+38
14.48276 1.34748e+38
15.00000 1.07396e+38
