# t[days] u g r i z y J H K
0.51724 -12.994 -13.844 -14.203 -13.924 -13.454 -13.589 -13.683 -13.412 -12.896 
1.03448 -12.994 -13.844 -14.203 -13.924 -13.454 -13.589 -13.683 -13.484 -13.274 
1.55172 -11.899 -12.658 -13.050 -13.331 -13.250 -13.237 -13.190 -13.484 -13.274 
2.06897 -11.191 -11.527 -11.954 -12.216 -12.571 -12.228 -12.390 -12.431 -12.721 
2.58621 -10.013 -10.804 -11.324 -11.927 -12.128 -12.217 -12.333 -12.383 -12.570 
3.10345 -9.084 -10.069 -10.775 -11.278 -11.820 -12.084 -12.193 -12.237 -12.402 
3.62069 -8.068 -9.347 -10.195 -10.620 -11.422 -11.497 -11.997 -12.090 -12.338 
4.13793 -7.051 -8.509 -9.551 -10.292 -11.114 -11.173 -11.407 -11.952 -12.272 
4.65517 -6.026 -7.677 -8.853 -10.015 -10.858 -11.033 -11.395 -11.827 -11.935 
5.17241 -4.999 -6.919 -8.231 -9.922 -10.198 -10.338 -10.994 -11.552 -11.890 
5.68966 -4.012 -6.139 -7.482 -8.892 -9.614 -10.226 -10.863 -11.367 -11.475 
6.20690 -3.067 -5.255 -7.340 -8.455 -9.274 -10.114 -10.701 -11.036 -11.317 
6.72414 -2.101 -4.483 -6.269 -7.641 -8.770 -9.337 -10.137 -10.976 -11.205 
7.24138 -1.181 -3.826 -5.679 -7.558 -8.180 -9.163 -9.854 -10.576 -11.033 
7.75862 -0.314 -3.663 -4.443 -6.941 -8.157 -8.626 -9.822 -10.467 -10.884 
8.27586 0.682 -2.436 -4.286 -6.894 -7.397 -8.587 -9.480 -10.256 -10.799 
8.79310 1.621 -1.369 -3.212 -6.446 -7.329 -7.602 -8.947 -9.980 -10.799 
9.31034 2.559 -0.773 -2.537 -6.014 -7.060 -7.469 -8.214 -9.529 -10.109 
9.82759 3.498 -0.100 -2.409 -4.569 -6.525 -7.244 -8.147 -9.481 -10.053 
10.34483 4.437 0.711 -2.094 -4.180 -5.283 -6.146 -7.741 -9.154 -10.053 
10.86207 5.376 1.585 -1.399 -4.179 -5.283 -5.534 -7.449 -8.830 -9.729 
11.37931 6.315 2.460 0.230 -3.196 -5.283 -4.885 -6.839 -8.784 -9.418 
11.89655 7.253 3.335 0.918 -2.624 -3.705 -4.885 -6.839 -8.003 -9.396 
12.41379 8.192 4.210 1.607 -1.647 -3.498 -4.144 -6.738 -7.937 -9.152 
12.93103 9.131 5.084 2.295 -1.434 -3.498 -4.405 -6.427 -7.937 -9.111 
13.44828 10.070 5.959 2.984 1.590 0.292 -4.066 -6.144 -8.127 -8.802 
13.96552 11.008 6.834 3.672 2.745 1.407 -2.625 -5.817 -8.127 -8.525 
14.48276 11.947 7.708 4.360 3.899 2.522 -1.551 -4.200 -7.215 -8.525 
15.00000 11.947 7.708 4.360 3.899 2.522 0.000 -3.977 -6.567 -8.413 
