# t[days] Lbol[erg/s]
0.51724 4.72248e+41
1.03448 1.32370e+42
1.55172 1.36820e+42
2.06897 1.36820e+42
2.58621 9.39963e+41
3.10345 5.95237e+41
3.62069 3.53952e+41
4.13793 2.16325e+41
4.65517 1.24665e+41
5.17241 8.09281e+40
5.68966 5.29829e+40
6.20690 3.64769e+40
6.72414 2.77010e+40
7.24138 2.25322e+40
7.75862 1.91866e+40
8.27586 1.70366e+40
8.79310 1.54150e+40
9.31034 1.42543e+40
9.82759 1.42543e+40
10.34483 1.43243e+40
10.86207 1.43946e+40
11.37931 1.44654e+40
11.89655 1.45364e+40
12.41379 1.46078e+40
12.93103 1.46796e+40
13.44828 1.47517e+40
13.96552 1.48242e+40
14.48276 1.48970e+40
15.00000 1.48970e+40
