# t[days] Lbol[erg/s]
0.51724 5.38608e+41
1.03448 1.28817e+42
1.55172 1.28817e+42
2.06897 9.52529e+41
2.58621 6.90256e+41
3.10345 4.93423e+41
3.62069 3.63915e+41
4.13793 2.71767e+41
4.65517 2.04763e+41
5.17241 1.61839e+41
5.68966 1.28627e+41
6.20690 1.01863e+41
6.72414 8.42506e+40
7.24138 7.10639e+40
7.75862 5.97350e+40
8.27586 5.05957e+40
8.79310 4.37208e+40
9.31034 3.91429e+40
9.82759 3.42058e+40
10.34483 2.98913e+40
10.86207 2.61211e+40
11.37931 2.28263e+40
11.89655 1.99472e+40
12.41379 1.74312e+40
12.93103 1.52326e+40
13.44828 1.33113e+40
13.96552 1.16323e+40
14.48276 1.01651e+40
15.00000 8.88294e+39
