# t[days] Lbol[erg/s]
0.51724 5.56898e+41
1.03448 1.03399e+42
1.55172 1.03399e+42
2.06897 6.62332e+41
2.58621 3.92785e+41
3.10345 2.34182e+41
3.62069 1.52614e+41
4.13793 1.07213e+41
4.65517 7.99592e+40
5.17241 6.23167e+40
5.68966 5.04126e+40
6.20690 4.19962e+40
6.72414 3.55956e+40
7.24138 3.03033e+40
7.75862 2.62961e+40
8.27586 2.27100e+40
8.79310 1.99474e+40
9.31034 1.76916e+40
9.82759 1.58507e+40
10.34483 1.42013e+40
10.86207 1.27236e+40
11.37931 1.13997e+40
11.89655 1.02135e+40
12.41379 9.15070e+39
12.93103 8.19852e+39
13.44828 7.34543e+39
13.96552 6.58110e+39
14.48276 5.89630e+39
15.00000 5.28276e+39
