# t[days] u g r i z y J H K
0.51724 -14.754 -15.297 -15.494 -15.309 -15.115 -14.992 -14.276 -14.016 -13.674 
1.03448 -14.754 -15.919 -16.739 -16.773 -16.483 -16.287 -15.820 -15.384 -15.068 
1.55172 -14.234 -15.919 -16.739 -16.773 -16.483 -16.287 -16.056 -15.892 -15.513 
2.06897 -13.337 -15.404 -16.297 -16.446 -16.312 -16.210 -16.056 -15.892 -15.657 
2.58621 -12.417 -14.729 -15.719 -15.976 -15.917 -15.911 -15.865 -15.822 -15.657 
3.10345 -11.466 -14.049 -15.090 -15.408 -15.487 -15.539 -15.581 -15.650 -15.549 
3.62069 -10.462 -13.342 -14.472 -14.835 -14.959 -15.078 -15.259 -15.363 -15.447 
4.13793 -9.380 -12.711 -13.887 -14.285 -14.460 -14.567 -14.917 -15.195 -15.160 
4.65517 -8.313 -11.936 -13.281 -13.738 -13.981 -14.104 -14.532 -14.906 -15.033 
5.17241 -7.352 -11.201 -12.712 -13.261 -13.529 -13.682 -14.217 -14.638 -14.878 
5.68966 -6.059 -10.531 -12.093 -12.723 -13.005 -13.229 -13.869 -14.410 -14.640 
6.20690 -4.947 -9.796 -11.454 -12.149 -12.470 -12.811 -13.522 -14.178 -14.475 
6.72414 -4.057 -9.015 -10.876 -11.703 -12.051 -12.329 -13.154 -13.926 -14.316 
7.24138 -3.302 -8.242 -10.218 -11.135 -11.589 -11.909 -12.855 -13.706 -14.177 
7.75862 -2.226 -7.652 -9.701 -10.646 -11.166 -11.458 -12.546 -13.439 -14.002 
8.27586 -1.711 -7.038 -9.040 -10.131 -10.623 -11.077 -12.185 -13.219 -13.855 
8.79310 0.202 -6.579 -8.616 -9.583 -10.243 -10.558 -11.881 -13.031 -13.701 
9.31034 1.232 -6.018 -7.801 -8.972 -9.746 -10.141 -11.567 -12.803 -13.509 
9.82759 2.262 -5.276 -7.574 -8.580 -9.205 -10.042 -11.204 -12.509 -13.333 
10.34483 3.292 -4.870 -7.136 -8.218 -8.915 -9.552 -10.819 -12.269 -13.141 
10.86207 4.322 -4.501 -6.005 -7.588 -8.496 -9.147 -10.572 -12.082 -12.994 
11.37931 5.351 -3.889 -5.931 -7.150 -7.988 -8.555 -10.250 -11.779 -12.830 
11.89655 6.381 -3.650 -5.818 -6.612 -7.622 -8.104 -9.933 -11.500 -12.615 
12.41379 7.411 -2.149 -5.416 -6.255 -7.126 -7.721 -9.618 -11.305 -12.409 
12.93103 8.441 0.372 -4.877 -6.199 -6.394 -7.279 -9.234 -11.020 -12.142 
13.44828 9.471 1.420 -3.806 -5.425 -6.248 -7.118 -8.907 -10.728 -11.932 
13.96552 10.501 2.469 -3.297 -5.185 -6.159 -6.411 -8.716 -10.394 -11.730 
14.48276 11.531 3.517 -3.035 -4.852 -4.926 -6.273 -8.309 -10.072 -11.403 
15.00000 11.531 3.517 -3.035 -4.456 -4.519 -5.764 -7.854 -9.805 -11.105 
