# t[days] Lbol[erg/s]
0.51724 3.93408e+40
1.03448 1.19441e+41
1.55172 1.93971e+41
2.06897 1.93971e+41
2.58621 1.69298e+41
3.10345 1.50229e+41
3.62069 1.33100e+41
4.13793 1.19338e+41
4.65517 9.82549e+40
5.17241 8.32320e+40
5.68966 8.12405e+40
6.20690 6.63898e+40
6.72414 5.50694e+40
7.24138 4.53279e+40
7.75862 4.45248e+40
8.27586 3.59076e+40
8.79310 3.02628e+40
9.31034 2.65859e+40
9.82759 2.40545e+40
10.34483 2.17642e+40
10.86207 1.96919e+40
11.37931 1.78169e+40
11.89655 1.61205e+40
12.41379 1.45856e+40
12.93103 1.31968e+40
13.44828 1.19403e+40
13.96552 1.08034e+40
14.48276 9.77474e+39
15.00000 8.84404e+39
