# t[days] Lbol[erg/s]
0.51724 1.95393e+41
1.03448 3.22757e+41
1.55172 4.50691e+41
2.06897 4.50691e+41
2.58621 4.02685e+41
3.10345 3.09916e+41
3.62069 2.71424e+41
4.13793 2.26922e+41
4.65517 1.61799e+41
5.17241 1.32245e+41
5.68966 1.03461e+41
6.20690 8.05476e+40
6.72414 6.72156e+40
7.24138 5.65217e+40
7.75862 4.64794e+40
8.27586 4.04266e+40
8.79310 3.65834e+40
9.31034 3.14645e+40
9.82759 2.64645e+40
10.34483 2.22591e+40
10.86207 1.87219e+40
11.37931 1.57468e+40
11.89655 1.32445e+40
12.41379 1.11399e+40
12.93103 9.36965e+39
13.44828 7.88073e+39
13.96552 6.62842e+39
14.48276 5.57511e+39
15.00000 4.68918e+39
