# t[days] u g r i z y J H K
0.51724 -13.334 -14.412 -14.976 -15.289 -15.342 -15.183 -15.181 -14.467 -13.272 
1.03448 -13.334 -14.412 -15.381 -16.096 -16.414 -16.434 -16.467 -16.154 -15.766 
1.55172 -11.996 -14.146 -15.381 -16.096 -16.414 -16.434 -16.467 -16.154 -15.856 
2.06897 -10.128 -12.898 -14.550 -15.485 -15.941 -16.169 -16.189 -16.096 -15.856 
2.58621 -8.155 -11.755 -13.625 -14.719 -15.310 -15.549 -15.732 -15.810 -15.548 
3.10345 -7.042 -10.499 -12.623 -13.914 -14.499 -14.828 -15.286 -15.327 -15.290 
3.62069 -4.490 -9.428 -11.901 -13.092 -13.734 -14.281 -14.781 -15.101 -15.092 
4.13793 -3.107 -8.381 -10.900 -12.274 -13.210 -13.577 -14.239 -14.627 -14.719 
4.65517 -3.107 -7.256 -9.877 -11.686 -12.547 -12.942 -13.744 -14.223 -14.507 
5.17241 -1.952 -6.147 -9.189 -10.953 -11.902 -12.442 -13.226 -13.856 -14.133 
5.68966 4.776 -5.002 -8.384 -10.172 -11.127 -11.945 -12.915 -13.549 -13.979 
6.20690 7.140 -4.171 -7.087 -9.499 -10.499 -11.271 -12.358 -13.264 -13.795 
6.72414 9.503 -2.836 -6.716 -8.945 -10.049 -10.795 -11.933 -12.963 -13.424 
7.24138 11.867 -0.898 -5.078 -8.330 -9.357 -10.481 -11.531 -12.724 -13.258 
7.75862 14.231 -0.281 -4.993 -7.420 -8.844 -9.655 -11.081 -12.385 -13.076 
8.27586 16.594 0.508 -4.498 -6.764 -8.367 -9.121 -10.722 -12.104 -12.932 
8.79310 18.958 1.610 -3.849 -6.395 -8.034 -8.032 -10.154 -11.831 -12.678 
9.31034 21.322 2.712 -1.192 -4.966 -7.083 -7.817 -9.837 -11.376 -12.351 
9.82759 23.685 3.814 8.652 -4.069 -6.753 -7.638 -9.413 -11.029 -12.250 
10.34483 26.049 4.916 11.398 -4.069 -3.457 -7.027 -9.055 -10.867 -11.885 
10.86207 28.413 6.018 14.144 -3.680 -2.490 -5.688 -8.505 -10.471 -11.847 
11.37931 30.776 7.120 16.890 -3.455 -3.457 -5.506 -8.139 -10.277 -11.350 
11.89655 33.140 8.222 19.636 -2.777 -4.414 -5.182 -7.838 -10.023 -11.250 
12.41379 35.504 9.324 22.382 -2.777 -4.414 -2.717 -7.666 -9.455 -11.188 
12.93103 37.867 10.427 25.128 -2.100 -3.722 -1.457 -7.050 -9.018 -10.944 
13.44828 40.231 11.529 27.874 -1.422 -3.031 -1.457 -6.246 -8.996 -10.424 
13.96552 42.595 12.631 30.620 -0.744 -2.339 -1.861 -5.441 -8.858 -10.296 
14.48276 44.958 13.733 33.366 -0.067 -1.647 -3.024 -5.441 -8.087 -9.913 
15.00000 44.958 13.733 33.366 0.000 -0.955 -3.024 -5.441 -7.626 -9.579 
