# t[days] u g r i z y J H K
0.51724 -12.219 -13.288 -13.523 -13.715 -14.182 -13.896 -13.607 -12.548 -12.362 
1.03448 -12.219 -13.288 -14.011 -14.720 -14.950 -15.173 -14.921 -14.335 -14.053 
1.55172 -10.793 -12.784 -14.011 -14.720 -14.950 -15.173 -14.921 -14.659 -14.372 
2.06897 -9.136 -11.773 -13.368 -14.258 -14.588 -14.782 -14.830 -14.659 -14.372 
2.58621 -7.886 -10.753 -12.509 -13.567 -14.078 -14.276 -14.440 -14.427 -14.248 
3.10345 -5.797 -9.834 -11.825 -12.962 -13.530 -13.682 -13.995 -14.087 -13.978 
3.62069 -4.921 -8.867 -10.936 -12.177 -12.792 -13.219 -13.455 -13.692 -13.661 
4.13793 -3.267 -7.518 -9.951 -11.479 -12.056 -12.659 -12.980 -13.351 -13.385 
4.65517 -1.798 -6.869 -9.231 -10.785 -11.585 -12.019 -12.572 -12.960 -13.167 
5.17241 1.773 -5.999 -8.481 -10.147 -10.941 -11.465 -12.158 -12.672 -12.888 
5.68966 3.705 -5.286 -8.013 -9.539 -10.538 -10.984 -11.821 -12.356 -12.687 
6.20690 5.637 -3.942 -7.457 -8.830 -9.977 -10.512 -11.447 -12.046 -12.445 
6.72414 7.568 -2.253 -6.360 -8.288 -9.275 -10.127 -11.050 -11.810 -12.240 
7.24138 9.500 0.333 -5.388 -7.609 -8.932 -9.576 -10.584 -11.555 -11.988 
7.75862 11.432 1.773 -5.166 -7.254 -8.552 -9.302 -10.334 -11.326 -11.943 
8.27586 13.364 3.213 -4.190 -6.616 -7.945 -8.647 -10.026 -11.049 -11.733 
8.79310 15.296 4.654 -3.764 -6.388 -7.534 -8.250 -9.662 -10.810 -11.562 
9.31034 17.227 6.094 -3.491 -5.620 -6.855 -7.959 -9.328 -10.648 -11.314 
9.82759 19.159 7.534 1.057 -4.706 -6.777 -7.497 -8.990 -10.298 -11.251 
10.34483 21.091 8.975 2.346 -3.560 -6.054 -7.094 -8.490 -10.180 -11.085 
10.86207 23.023 10.415 3.635 -2.253 -5.086 -6.157 -8.322 -9.867 -10.828 
11.37931 24.955 11.855 4.924 -2.253 -4.582 -5.770 -7.740 -9.724 -10.586 
11.89655 26.886 13.296 6.213 -0.196 -3.998 -5.770 -7.539 -9.469 -10.420 
12.41379 28.818 14.736 7.502 -2.351 -3.998 -5.770 -7.377 -9.248 -10.407 
12.93103 30.750 16.176 8.791 -0.216 -2.296 -4.962 -7.002 -8.744 -10.163 
13.44828 32.682 17.617 10.080 -1.565 4.540 -4.057 -6.901 -8.501 -9.965 
13.96552 34.614 19.057 11.369 -0.940 6.465 -2.388 -6.051 -8.094 -9.561 
14.48276 36.545 20.498 12.658 -0.940 8.391 -0.072 -5.624 -7.925 -9.327 
15.00000 36.545 20.498 12.658 -0.314 8.391 0.000 -4.917 -7.583 -8.853 
