# t[days] Lbol[erg/s]
0.51724 1.01719e+41
1.03448 1.17432e+41
1.55172 3.13949e+41
2.06897 3.13949e+41
2.58621 2.64369e+41
3.10345 2.09267e+41
3.62069 1.55081e+41
4.13793 1.17615e+41
4.65517 8.69194e+40
5.17241 6.34444e+40
5.68966 5.03127e+40
6.20690 4.05306e+40
6.72414 3.24865e+40
7.24138 2.75331e+40
7.75862 2.32541e+40
8.27586 1.94474e+40
8.79310 1.66602e+40
9.31034 1.46808e+40
9.82759 1.23766e+40
10.34483 1.04341e+40
10.86207 8.79643e+39
11.37931 7.41581e+39
11.89655 6.25188e+39
12.41379 5.27063e+39
12.93103 4.44339e+39
13.44828 3.74599e+39
13.96552 3.15805e+39
14.48276 2.66239e+39
15.00000 2.24452e+39
