# t[days] Lbol[erg/s]
0.51724 6.78981e+39
1.03448 4.98469e+40
1.55172 1.06592e+41
2.06897 1.06592e+41
2.58621 7.75001e+40
3.10345 5.19041e+40
3.62069 3.30921e+40
4.13793 2.07490e+40
4.65517 1.44934e+40
5.17241 1.19133e+40
5.68966 9.05325e+39
6.20690 8.17310e+39
6.72414 6.72599e+39
7.24138 5.93884e+39
7.75862 4.77534e+39
8.27586 4.22646e+39
8.79310 3.91864e+39
9.31034 3.37183e+39
9.82759 3.13387e+39
10.34483 2.91270e+39
10.86207 2.70714e+39
11.37931 2.51608e+39
11.89655 2.33851e+39
12.41379 2.17347e+39
12.93103 2.02008e+39
13.44828 1.87752e+39
13.96552 1.74501e+39
14.48276 1.62186e+39
15.00000 1.50740e+39
