# t[days] u g r i z y J H K
0.51724 -11.770 -11.553 -11.116 -12.132 -12.416 -11.204 -11.936 -12.054 -10.230 
1.03448 -11.866 -12.119 -12.877 -13.564 -13.257 -13.059 -12.920 -12.107 -12.525 
1.55172 -11.866 -13.244 -13.826 -14.151 -14.311 -14.509 -14.056 -13.779 -12.960 
2.06897 -11.756 -13.244 -13.826 -14.151 -14.311 -14.515 -14.386 -14.001 -13.297 
2.58621 -11.329 -12.728 -13.605 -14.132 -14.300 -14.509 -14.386 -14.001 -13.523 
3.10345 -10.620 -11.938 -12.687 -13.449 -13.801 -13.941 -14.087 -14.092 -13.523 
3.62069 -9.919 -11.163 -12.405 -13.201 -13.606 -13.747 -13.962 -13.967 -13.521 
4.13793 -9.250 -10.604 -12.044 -12.831 -13.531 -13.653 -13.699 -13.680 -13.425 
4.65517 -8.598 -10.033 -11.525 -12.443 -13.045 -13.310 -13.429 -13.573 -13.264 
5.17241 -7.892 -9.515 -10.983 -12.032 -12.638 -13.060 -13.275 -13.216 -13.211 
5.68966 -7.278 -9.053 -10.519 -11.731 -12.290 -12.609 -13.096 -13.101 -13.058 
6.20690 -6.753 -8.262 -10.008 -11.261 -12.046 -12.295 -12.764 -12.845 -12.853 
6.72414 -6.100 -8.062 -9.620 -10.838 -11.648 -11.964 -12.539 -12.755 -12.799 
7.24138 -5.428 -7.531 -9.361 -10.571 -11.369 -11.752 -12.307 -12.590 -12.477 
7.75862 -4.889 -6.964 -8.864 -10.294 -11.052 -11.528 -11.987 -12.314 -12.363 
8.27586 -4.316 -6.598 -8.357 -10.086 -10.887 -11.239 -11.951 -12.136 -12.210 
8.79310 -3.715 -6.173 -8.161 -9.635 -10.533 -11.156 -11.685 -11.986 -12.202 
9.31034 -3.099 -5.816 -8.062 -9.633 -10.498 -10.937 -11.587 -11.971 -12.113 
9.82759 -2.563 -5.577 -7.721 -9.455 -10.198 -10.840 -11.479 -11.903 -11.947 
10.34483 -1.898 -4.785 -7.282 -8.999 -9.869 -10.575 -11.177 -11.712 -11.947 
10.86207 -1.536 -4.318 -6.818 -8.841 -9.836 -10.244 -11.000 -11.530 -11.697 
11.37931 -0.781 -4.144 -6.574 -8.349 -9.527 -10.080 -10.796 -11.430 -11.696 
11.89655 -0.316 -4.052 -6.373 -7.978 -9.221 -9.843 -10.737 -11.195 -11.539 
12.41379 0.333 -3.442 -5.956 -7.877 -9.024 -9.667 -10.655 -11.174 -11.392 
12.93103 0.912 -3.375 -5.490 -7.659 -8.895 -9.474 -10.451 -11.142 -11.387 
13.44828 1.492 -2.633 -5.394 -7.497 -8.690 -9.323 -10.286 -11.007 -11.351 
13.96552 2.071 -2.033 -5.249 -7.190 -8.495 -9.059 -10.140 -10.837 -11.185 
14.48276 2.650 -1.215 -4.402 -6.663 -8.220 -8.822 -9.806 -10.576 -11.017 
15.00000 2.650 -0.941 -4.367 -6.041 -7.520 -8.500 -9.634 -10.403 -10.748 
