# t[days] Lbol[erg/s]
0.51724 1.30920e+41
1.03448 3.21442e+41
1.55172 4.25891e+41
2.06897 4.25891e+41
2.58621 4.05334e+41
3.10345 2.99209e+41
3.62069 2.39813e+41
4.13793 1.79355e+41
4.65517 1.36288e+41
5.17241 1.07468e+41
5.68966 7.97189e+40
6.20690 6.66088e+40
6.72414 5.33218e+40
7.24138 4.35600e+40
7.75862 3.66772e+40
8.27586 3.04263e+40
8.79310 2.53764e+40
9.31034 2.19045e+40
9.82759 1.94638e+40
10.34483 1.72951e+40
10.86207 1.53680e+40
11.37931 1.36556e+40
11.89655 1.21340e+40
12.41379 1.07820e+40
12.93103 9.58062e+39
13.44828 8.51310e+39
13.96552 7.56453e+39
14.48276 6.72166e+39
15.00000 5.97270e+39
