# t[days] Lbol[erg/s]
0.51724 1.91725e+41
1.03448 2.29597e+41
1.55172 5.36021e+41
2.06897 5.36021e+41
2.58621 4.39840e+41
3.10345 4.09982e+41
3.62069 3.84187e+41
4.13793 3.33127e+41
4.65517 2.87862e+41
5.17241 2.43032e+41
5.68966 2.00083e+41
6.20690 1.73836e+41
6.72414 1.46324e+41
7.24138 1.26608e+41
7.75862 1.08350e+41
8.27586 9.31757e+40
8.79310 7.76186e+40
9.31034 6.84799e+40
9.82759 5.95747e+40
10.34483 5.18275e+40
10.86207 4.50878e+40
11.37931 3.92245e+40
11.89655 3.41237e+40
12.41379 2.96862e+40
12.93103 2.58258e+40
13.44828 2.24674e+40
13.96552 1.95457e+40
14.48276 1.70039e+40
15.00000 1.47927e+40
