# t[days] u g r i z y J H K
0.51724 -12.472 -13.633 -14.057 -14.061 -14.069 -13.754 -13.384 -13.184 -8.698 
1.03448 -13.194 -14.176 -14.843 -15.251 -15.554 -15.228 -15.039 -14.856 -13.910 
1.55172 -13.194 -14.385 -15.339 -15.859 -16.041 -16.245 -16.301 -16.020 -15.533 
2.06897 -12.767 -14.385 -15.339 -15.859 -16.146 -16.313 -16.380 -16.123 -15.761 
2.58621 -12.330 -13.868 -15.030 -15.739 -16.041 -16.245 -16.358 -16.171 -15.851 
3.10345 -11.584 -13.135 -14.635 -15.569 -16.003 -16.239 -16.358 -16.123 -15.889 
3.62069 -10.763 -12.621 -14.034 -15.089 -15.610 -15.977 -16.284 -16.105 -15.889 
4.13793 -9.945 -12.082 -13.704 -14.756 -15.406 -15.784 -16.077 -16.073 -15.889 
4.65517 -9.261 -11.195 -13.244 -14.526 -15.224 -15.563 -15.975 -16.073 -15.972 
5.17241 -8.494 -10.684 -12.829 -14.164 -14.924 -15.307 -15.781 -16.021 -15.972 
5.68966 -7.759 -10.510 -12.357 -13.869 -14.698 -14.991 -15.445 -15.670 -15.598 
6.20690 -6.897 -9.630 -11.788 -13.390 -14.205 -14.637 -15.214 -15.403 -15.557 
6.72414 -6.179 -8.964 -11.516 -13.007 -13.971 -14.314 -14.952 -15.323 -15.305 
7.24138 -5.381 -8.386 -10.947 -12.500 -13.625 -13.981 -14.818 -15.073 -15.093 
7.75862 -4.792 -7.819 -10.584 -12.215 -13.293 -13.724 -14.545 -14.875 -15.001 
8.27586 -3.862 -7.347 -10.008 -11.652 -12.802 -13.464 -14.251 -14.668 -14.963 
8.79310 -3.118 -7.189 -9.521 -11.374 -12.531 -13.097 -14.081 -14.630 -14.758 
9.31034 -2.486 -6.431 -9.053 -11.091 -12.444 -12.988 -13.887 -14.409 -14.670 
9.82759 -1.873 -5.521 -8.903 -10.727 -11.750 -12.430 -13.604 -14.220 -14.575 
10.34483 -0.860 -5.394 -8.903 -10.400 -11.691 -12.259 -13.361 -14.002 -14.301 
10.86207 -0.673 -5.394 -8.418 -10.326 -11.465 -12.137 -13.283 -13.897 -14.242 
11.37931 0.284 -4.937 -7.949 -9.747 -11.007 -11.750 -13.035 -13.720 -14.097 
11.89655 0.964 -3.950 -7.229 -9.677 -10.847 -11.454 -12.725 -13.541 -13.929 
12.41379 1.644 -2.883 -7.114 -9.348 -10.638 -11.309 -12.597 -13.406 -13.813 
12.93103 2.324 -2.432 -6.612 -8.969 -10.362 -11.278 -12.377 -13.245 -13.778 
13.44828 3.005 -2.271 -6.312 -8.742 -10.046 -10.843 -12.152 -13.047 -13.593 
13.96552 3.685 -2.005 -5.688 -8.101 -9.645 -10.422 -11.872 -12.893 -13.465 
14.48276 4.365 -0.744 -5.008 -7.817 -9.458 -10.220 -11.741 -12.651 -13.236 
15.00000 4.365 0.000 -4.446 -7.180 -9.092 -10.025 -11.507 -12.487 -13.232 
