# t[days] u g r i z y J H K
0.51724 -14.001 -14.844 -15.117 -15.195 -15.165 -15.093 -14.502 -14.272 -13.431 
1.03448 -14.001 -14.938 -15.885 -16.300 -16.324 -16.315 -16.249 -15.652 -15.213 
1.55172 -13.418 -14.938 -15.885 -16.300 -16.324 -16.315 -16.249 -15.975 -15.672 
2.06897 -11.969 -14.002 -15.085 -15.743 -16.075 -16.182 -16.142 -15.975 -15.672 
2.58621 -10.120 -12.851 -14.239 -14.970 -15.399 -15.545 -15.642 -15.562 -15.368 
3.10345 -8.724 -11.774 -13.384 -14.296 -14.683 -14.922 -15.135 -15.038 -14.991 
3.62069 -8.052 -10.732 -12.515 -13.522 -14.078 -14.350 -14.651 -14.737 -14.689 
4.13793 -6.360 -9.836 -11.905 -12.933 -13.497 -13.898 -14.233 -14.355 -14.348 
4.65517 -5.335 -9.010 -11.213 -12.385 -12.980 -13.331 -13.840 -14.107 -14.089 
5.17241 -3.695 -8.453 -10.378 -11.807 -12.357 -12.962 -13.505 -13.838 -13.915 
5.68966 -2.372 -7.853 -9.985 -11.271 -12.070 -12.474 -13.226 -13.630 -13.720 
6.20690 -2.206 -6.684 -9.330 -10.914 -11.700 -12.055 -12.921 -13.412 -13.665 
6.72414 -0.156 -5.794 -8.718 -10.229 -11.194 -11.606 -12.625 -13.203 -13.369 
7.24138 1.394 -4.647 -7.872 -9.619 -10.835 -11.295 -12.278 -12.994 -13.276 
7.75862 2.740 -4.611 -7.649 -9.350 -10.450 -10.978 -12.009 -12.810 -13.230 
8.27586 4.086 -2.945 -6.678 -8.852 -9.728 -10.614 -11.677 -12.590 -13.071 
8.79310 5.432 -2.550 -6.491 -8.461 -9.423 -10.128 -11.437 -12.367 -12.892 
9.31034 6.778 -2.518 -5.555 -7.690 -9.155 -9.769 -11.148 -12.056 -12.695 
9.82759 8.124 -2.104 -5.361 -7.426 -8.548 -9.619 -10.891 -12.012 -12.587 
10.34483 9.470 -0.939 -3.799 -6.728 -7.769 -8.786 -10.483 -11.701 -12.437 
10.86207 10.816 3.876 -2.717 -6.355 -7.664 -8.642 -10.179 -11.451 -12.331 
11.37931 12.162 5.240 -2.717 -5.977 -7.536 -8.075 -9.804 -11.395 -12.134 
11.89655 13.508 6.604 -2.717 -5.562 -6.844 -7.894 -9.577 -11.088 -11.938 
12.41379 14.854 7.969 -2.370 -4.848 -6.223 -7.402 -9.321 -10.739 -11.795 
12.93103 16.200 9.333 -2.370 -4.485 -6.090 -7.097 -8.988 -10.379 -11.492 
13.44828 17.546 10.697 -2.370 -3.876 -5.546 -6.765 -8.401 -10.175 -11.278 
13.96552 18.892 12.062 -2.263 -3.107 -4.478 -6.476 -7.969 -9.885 -10.992 
14.48276 20.238 13.426 -1.887 2.328 -4.478 -5.915 -7.507 -9.354 -10.645 
15.00000 20.238 13.426 -1.516 2.328 -4.478 -5.411 -7.344 -9.245 -10.529 
