# t[days] Lbol[erg/s]
0.51724 1.17983e+41
1.03448 2.02671e+41
1.55172 3.69249e+41
2.06897 4.51936e+41
2.58621 4.51936e+41
3.10345 3.84264e+41
3.62069 3.03061e+41
4.13793 2.42975e+41
4.65517 2.02462e+41
5.17241 1.56095e+41
5.68966 1.24022e+41
6.20690 9.58363e+40
6.72414 6.93334e+40
7.24138 4.50001e+40
7.75862 3.80431e+40
8.27586 2.86505e+40
8.79310 1.91844e+40
9.31034 1.53355e+40
9.82759 8.75910e+39
10.34483 5.00291e+39
10.86207 2.85749e+39
11.37931 1.63211e+39
11.89655 9.32205e+38
12.41379 5.32444e+38
12.93103 3.04114e+38
13.44828 1.73700e+38
13.96552 9.92117e+37
14.48276 5.66664e+37
15.00000 3.23660e+37
