# t[days] Lbol[erg/s]
1.22449 2.21551e+41
1.42857 2.21551e+41
1.63265 1.82929e+41
1.83673 1.51990e+41
2.04082 1.29177e+41
2.24490 1.09416e+41
2.44898 9.57585e+40
2.65306 8.71995e+40
2.85714 7.55232e+40
3.06122 6.80549e+40
3.26531 6.13710e+40
3.46939 5.66768e+40
3.67347 5.34953e+40
3.87755 4.71039e+40
4.08163 4.37496e+40
4.28571 3.95083e+40
4.48980 3.68868e+40
4.69388 3.42439e+40
4.89796 3.16563e+40
5.10204 2.95483e+40
5.30612 2.64054e+40
5.51020 2.53816e+40
5.71429 2.39757e+40
5.91837 2.29803e+40
