# t[days] u g r i z y J H K
1.22449 -11.045 -12.204 -12.171 -11.563 -10.661 -10.011 -9.284 -9.483 -9.774 
1.42857 -11.045 -12.204 -12.171 -11.563 -10.727 -10.017 -9.342 -9.661 -9.874 
1.63265 -10.734 -11.978 -12.054 -11.488 -10.747 -10.131 -9.389 -9.738 -10.030 
1.83673 -10.432 -11.777 -11.955 -11.415 -10.747 -10.149 -9.544 -9.990 -10.217 
2.04082 -10.028 -11.562 -11.805 -11.363 -10.725 -10.156 -9.705 -10.020 -10.261 
2.24490 -9.762 -11.367 -11.680 -11.308 -10.710 -10.169 -9.825 -10.144 -10.331 
2.44898 -9.431 -11.169 -11.561 -11.231 -10.710 -10.199 -9.892 -10.206 -10.597 
2.65306 -9.067 -10.904 -11.400 -11.192 -10.683 -10.199 -9.981 -10.448 -10.659 
2.85714 -8.699 -10.658 -11.247 -11.121 -10.654 -10.192 -10.067 -10.557 -10.794 
3.06122 -8.299 -10.394 -11.071 -11.008 -10.575 -10.167 -10.121 -10.568 -10.805 
3.26531 -7.922 -10.141 -10.900 -10.877 -10.506 -10.164 -10.132 -10.623 -10.919 
3.46939 -7.419 -9.889 -10.698 -10.779 -10.454 -10.009 -10.132 -10.631 -10.925 
3.67347 -7.063 -9.558 -10.455 -10.585 -10.376 -9.970 -10.061 -10.631 -11.013 
3.87755 -6.751 -9.254 -10.268 -10.447 -10.240 -9.864 -10.060 -10.725 -11.049 
4.08163 -6.270 -8.889 -9.992 -10.254 -10.034 -9.764 -10.032 -10.725 -11.070 
4.28571 -5.919 -8.601 -9.766 -10.054 -9.870 -9.640 -9.892 -10.655 -11.049 
4.48980 -5.639 -8.335 -9.487 -9.863 -9.697 -9.487 -9.884 -10.584 -11.078 
4.69388 -5.215 -7.975 -9.217 -9.591 -9.569 -9.331 -9.828 -10.571 -11.004 
4.89796 -4.857 -7.667 -8.956 -9.392 -9.418 -9.222 -9.659 -10.505 -11.004 
5.10204 -4.382 -7.294 -8.646 -9.093 -9.211 -9.021 -9.527 -10.447 -10.964 
5.30612 -4.111 -6.902 -8.341 -8.903 -8.952 -8.767 -9.468 -10.365 -10.897 
5.51020 -3.959 -6.658 -8.130 -8.706 -8.682 -8.592 -9.254 -10.267 -10.854 
5.71429 -3.451 -6.416 -7.803 -8.488 -8.611 -8.504 -9.212 -10.201 -10.813 
5.91837 -3.250 -5.971 -7.575 -8.219 -8.252 -8.278 -8.994 -10.106 -10.740 
