# t[days] Lbol[erg/s]
1.22449 4.18177e+41
1.42857 4.18177e+41
1.63265 3.60011e+41
1.83673 3.07059e+41
2.04082 2.67966e+41
2.24490 2.33059e+41
2.44898 2.06644e+41
2.65306 1.84814e+41
2.85714 1.67467e+41
3.06122 1.52143e+41
3.26531 1.37694e+41
3.46939 1.26311e+41
3.67347 1.15959e+41
3.87755 1.07256e+41
4.08163 9.69025e+40
4.28571 9.18893e+40
4.48980 8.46173e+40
4.69388 7.78099e+40
4.89796 7.16257e+40
5.10204 6.80076e+40
5.30612 6.25596e+40
5.51020 5.79631e+40
5.71429 5.37843e+40
5.91837 4.98438e+40
