# t[days] Lbol[erg/s]
1.22449 6.57758e+41
1.42857 6.57758e+41
1.63265 5.76379e+41
1.83673 5.00318e+41
2.04082 4.36209e+41
2.24490 3.82831e+41
2.44898 3.43161e+41
2.65306 3.01391e+41
2.85714 2.75935e+41
3.06122 2.48211e+41
3.26531 2.28891e+41
3.46939 2.05269e+41
3.67347 1.88785e+41
3.87755 1.72332e+41
4.08163 1.58932e+41
4.28571 1.47496e+41
4.48980 1.36017e+41
4.69388 1.25932e+41
4.89796 1.16348e+41
5.10204 1.08607e+41
5.30612 9.94852e+40
5.51020 9.36494e+40
5.71429 8.83036e+40
5.91837 8.04784e+40
