# t[days] u g r i z y J H K
1.22449 -9.837 -11.675 -12.137 -11.920 -11.387 -10.952 -10.516 -10.972 -11.201 
1.42857 -9.837 -11.675 -12.137 -11.920 -11.387 -10.954 -10.638 -11.166 -11.414 
1.63265 -9.140 -11.212 -11.841 -11.738 -11.307 -10.954 -10.785 -11.345 -11.716 
1.83673 -8.500 -10.721 -11.534 -11.544 -11.222 -10.887 -10.868 -11.469 -11.825 
2.04082 -7.730 -10.171 -11.129 -11.281 -11.039 -10.748 -10.870 -11.534 -11.924 
2.24490 -7.071 -9.661 -10.699 -10.998 -10.807 -10.570 -10.868 -11.534 -11.966 
2.44898 -6.240 -9.071 -10.267 -10.570 -10.499 -10.279 -10.627 -11.532 -11.985 
2.65306 -5.660 -8.512 -9.748 -10.217 -10.132 -10.045 -10.520 -11.436 -11.985 
2.85714 -5.162 -7.985 -9.294 -9.756 -9.846 -9.715 -10.312 -11.291 -11.925 
3.06122 -4.688 -7.473 -8.868 -9.416 -9.436 -9.428 -10.018 -11.158 -11.838 
3.26531 -3.702 -6.805 -8.305 -8.937 -9.164 -9.069 -9.803 -10.954 -11.689 
3.46939 -3.320 -6.344 -7.779 -8.595 -8.866 -8.683 -9.641 -10.831 -11.587 
3.67347 -2.167 -5.869 -7.593 -7.998 -8.152 -8.286 -9.380 -10.647 -11.495 
3.87755 -1.735 -5.550 -6.911 -7.696 -7.915 -8.045 -9.144 -10.464 -11.364 
4.08163 -1.735 -4.777 -6.294 -7.429 -7.679 -7.658 -8.856 -10.237 -11.226 
4.28571 -1.189 -3.890 -6.108 -6.904 -7.195 -7.215 -8.510 -10.061 -11.101 
4.48980 0.041 -3.298 -5.524 -6.419 -6.605 -6.766 -8.340 -9.871 -10.919 
4.69388 0.713 -3.298 -5.452 -6.092 -6.277 -6.611 -8.001 -9.694 -10.769 
4.89796 1.386 -3.298 -5.010 -5.808 -6.159 -5.962 -7.781 -9.452 -10.639 
5.10204 2.058 -2.148 -4.520 -5.343 -5.819 -5.844 -7.471 -9.212 -10.430 
5.30612 2.730 -2.148 -4.406 -4.823 -5.521 -5.574 -7.276 -9.013 -10.267 
5.51020 3.402 -2.077 -3.852 -4.621 -5.347 -5.236 -6.961 -8.902 -10.094 
5.71429 4.074 -1.541 -3.666 -4.585 -4.673 -4.957 -6.616 -8.702 -9.925 
5.91837 4.074 -0.778 -2.664 -3.956 -3.722 -4.110 -6.543 -8.435 -9.838 
