# t[days] Lbol[erg/s]
1.22449 8.22054e+41
1.42857 8.22054e+41
1.63265 7.66425e+41
1.83673 7.06833e+41
2.04082 6.45382e+41
2.24490 5.84821e+41
2.44898 5.28027e+41
2.65306 4.80581e+41
2.85714 4.33012e+41
3.06122 3.89443e+41
3.26531 3.57033e+41
3.46939 3.18099e+41
3.67347 2.90429e+41
3.87755 2.65335e+41
4.08163 2.42889e+41
4.28571 2.24211e+41
4.48980 2.08781e+41
4.69388 1.91463e+41
4.89796 1.75831e+41
5.10204 1.64145e+41
5.30612 1.51986e+41
5.51020 1.42972e+41
5.71429 1.33446e+41
5.91837 1.24956e+41
