# t[days] Lbol[erg/s]
1.22449 8.08775e+41
1.42857 8.08775e+41
1.63265 7.29925e+41
1.83673 6.54752e+41
2.04082 5.85919e+41
2.24490 5.26463e+41
2.44898 4.65336e+41
2.65306 4.20308e+41
2.85714 3.81973e+41
3.06122 3.45386e+41
3.26531 3.13310e+41
3.46939 2.87027e+41
3.67347 2.60835e+41
3.87755 2.40743e+41
4.08163 2.20121e+41
4.28571 2.04331e+41
4.48980 1.89144e+41
4.69388 1.74408e+41
4.89796 1.63480e+41
5.10204 1.52055e+41
5.30612 1.39214e+41
5.51020 1.31466e+41
5.71429 1.21215e+41
5.91837 1.13810e+41
