# t[days] Lbol[erg/s]
1.22449 6.44719e+41
1.42857 6.49859e+41
1.63265 6.62945e+41
1.83673 6.62945e+41
2.04082 6.55517e+41
2.24490 6.18613e+41
2.44898 5.81994e+41
2.65306 5.53136e+41
2.85714 5.15720e+41
3.06122 4.85348e+41
3.26531 4.62705e+41
3.46939 4.31560e+41
3.67347 4.00290e+41
3.87755 3.78314e+41
4.08163 3.53828e+41
4.28571 3.26430e+41
4.48980 3.06640e+41
4.69388 2.78706e+41
4.89796 2.65107e+41
5.10204 2.46960e+41
5.30612 2.28027e+41
5.51020 2.11791e+41
5.71429 1.98465e+41
5.91837 1.89657e+41
