# t[days] Lbol[erg/s]
0.51724 2.56570e+41
1.03448 5.97103e+41
1.55172 5.97103e+41
2.06897 5.51274e+41
2.58621 3.91115e+41
3.10345 2.82884e+41
3.62069 1.98656e+41
4.13793 1.44841e+41
4.65517 1.09442e+41
5.17241 8.24469e+40
5.68966 6.59301e+40
6.20690 5.39395e+40
6.72414 4.55979e+40
7.24138 3.85518e+40
7.75862 3.38270e+40
8.27586 2.96260e+40
8.79310 2.58172e+40
9.31034 2.32237e+40
9.82759 2.02170e+40
10.34483 1.75996e+40
10.86207 1.53210e+40
11.37931 1.33375e+40
11.89655 1.16107e+40
12.41379 1.01075e+40
12.93103 8.79894e+39
13.44828 7.65977e+39
13.96552 6.66809e+39
14.48276 5.80479e+39
15.00000 5.05327e+39
