# t[days] Lbol[erg/s]
0.51724 5.33484e+41
1.03448 1.33771e+42
1.55172 1.33771e+42
2.06897 1.04761e+42
2.58621 7.48921e+41
3.10345 5.21826e+41
3.62069 3.60092e+41
4.13793 2.52742e+41
4.65517 1.81576e+41
5.17241 1.34526e+41
5.68966 1.03192e+41
6.20690 8.11214e+40
6.72414 6.63076e+40
7.24138 5.52295e+40
7.75862 4.68800e+40
8.27586 4.01115e+40
8.79310 3.49433e+40
9.31034 3.05614e+40
9.82759 2.72166e+40
10.34483 2.42378e+40
10.86207 2.15850e+40
11.37931 1.92226e+40
11.89655 1.71187e+40
12.41379 1.52451e+40
12.93103 1.35766e+40
13.44828 1.20907e+40
13.96552 1.07674e+40
14.48276 9.58892e+39
15.00000 8.53944e+39
