# t[days] u g r i z y J H K
0.51724 -15.080 -15.381 -15.353 -15.197 -14.967 -14.492 -14.107 -13.623 -12.693 
1.03448 -15.080 -16.265 -17.052 -16.992 -16.667 -16.451 -16.090 -15.725 -15.554 
1.55172 -14.665 -16.265 -17.052 -16.992 -16.865 -16.670 -16.461 -16.186 -15.915 
2.06897 -13.854 -15.797 -16.750 -16.952 -16.865 -16.670 -16.481 -16.297 -16.094 
2.58621 -13.044 -15.284 -16.351 -16.627 -16.581 -16.556 -16.481 -16.297 -16.104 
3.10345 -12.246 -14.732 -15.885 -16.245 -16.309 -16.276 -16.343 -16.272 -16.104 
3.62069 -11.308 -14.118 -15.328 -15.791 -15.954 -16.009 -16.154 -16.113 -15.982 
4.13793 -10.393 -13.494 -14.803 -15.282 -15.523 -15.667 -15.848 -16.005 -15.906 
4.65517 -9.389 -12.851 -14.265 -14.807 -15.109 -15.314 -15.630 -15.791 -15.783 
5.17241 -8.450 -12.247 -13.694 -14.393 -14.724 -14.925 -15.395 -15.626 -15.636 
5.68966 -7.209 -11.600 -13.170 -13.922 -14.240 -14.526 -15.094 -15.415 -15.510 
6.20690 -6.351 -10.859 -12.598 -13.391 -13.871 -14.206 -14.782 -15.221 -15.375 
6.72414 -5.433 -10.342 -12.069 -12.901 -13.495 -13.769 -14.490 -14.980 -15.234 
7.24138 -4.779 -9.490 -11.600 -12.401 -13.075 -13.354 -14.210 -14.799 -15.078 
7.75862 -3.624 -8.827 -11.019 -11.990 -12.532 -12.956 -13.931 -14.569 -14.939 
8.27586 -2.870 -8.463 -10.433 -11.505 -12.178 -12.627 -13.612 -14.351 -14.796 
8.79310 -1.310 -7.743 -9.945 -11.026 -11.717 -12.195 -13.323 -14.099 -14.619 
9.31034 -1.109 -7.054 -9.448 -10.503 -11.380 -11.921 -13.030 -13.923 -14.492 
9.82759 1.992 -6.462 -8.840 -10.019 -10.928 -11.526 -12.718 -13.711 -14.230 
10.34483 3.346 -6.049 -8.198 -9.799 -10.443 -11.078 -12.502 -13.508 -14.140 
10.86207 4.700 -5.728 -7.816 -9.205 -10.040 -10.602 -12.111 -13.242 -13.959 
11.37931 6.054 -5.150 -7.410 -8.755 -9.719 -10.371 -11.823 -13.035 -13.783 
11.89655 7.408 -4.888 -6.908 -8.511 -9.546 -10.151 -11.574 -12.867 -13.672 
12.41379 8.762 -4.292 -6.645 -8.118 -8.899 -9.747 -11.326 -12.633 -13.496 
12.93103 10.117 -3.688 -6.421 -7.797 -8.724 -9.358 -10.969 -12.363 -13.266 
13.44828 11.471 -3.688 -5.738 -7.255 -8.271 -9.110 -10.674 -12.100 -13.080 
13.96552 12.825 -2.808 -5.689 -6.890 -8.023 -8.457 -10.356 -11.862 -12.880 
14.48276 14.179 -1.474 -5.189 -6.646 -7.391 -8.305 -10.124 -11.698 -12.655 
15.00000 14.179 -0.971 -3.512 -6.200 -7.239 -7.901 -9.722 -11.359 -12.405 
