# t[days] Lbol[erg/s]
0.51724 6.57757e+41
1.03448 1.11194e+42
1.55172 1.11194e+42
2.06897 8.37532e+41
2.58621 6.43376e+41
3.10345 5.11930e+41
3.62069 4.04243e+41
4.13793 3.24211e+41
4.65517 2.55776e+41
5.17241 2.04441e+41
5.68966 1.62930e+41
6.20690 1.30373e+41
6.72414 1.07891e+41
7.24138 8.94446e+40
7.75862 7.60036e+40
8.27586 6.45731e+40
8.79310 5.48677e+40
9.31034 4.69648e+40
9.82759 4.13388e+40
10.34483 3.63867e+40
10.86207 3.20279e+40
11.37931 2.81912e+40
11.89655 2.48142e+40
12.41379 2.18416e+40
12.93103 1.92252e+40
13.44828 1.69222e+40
13.96552 1.48950e+40
14.48276 1.31107e+40
15.00000 1.15402e+40
