# t[days] Lbol[erg/s]
0.51724 4.61001e+41
1.03448 1.15719e+42
1.55172 1.15719e+42
2.06897 8.22947e+41
2.58621 5.53667e+41
3.10345 3.70959e+41
3.62069 2.49602e+41
4.13793 1.80998e+41
4.65517 1.30762e+41
5.17241 1.03438e+41
5.68966 8.01250e+40
6.20690 6.89905e+40
6.72414 5.77305e+40
7.24138 4.67708e+40
7.75862 4.29128e+40
8.27586 3.69845e+40
8.79310 3.34342e+40
9.31034 2.91260e+40
9.82759 2.64620e+40
10.34483 2.40417e+40
10.86207 2.18428e+40
11.37931 1.98450e+40
11.89655 1.80299e+40
12.41379 1.63808e+40
12.93103 1.48825e+40
13.44828 1.35213e+40
13.96552 1.22846e+40
14.48276 1.11610e+40
15.00000 1.01402e+40
