# t[days] u g r i z y J H K
0.51724 -13.673 -14.142 -14.114 -13.973 -13.876 -13.512 -13.325 -13.214 -11.970 
1.03448 -13.673 -14.142 -14.528 -14.893 -14.943 -14.956 -14.709 -14.205 -14.263 
1.55172 -12.227 -13.941 -14.528 -15.228 -15.471 -15.527 -15.337 -15.135 -14.738 
2.06897 -10.668 -13.030 -14.457 -15.228 -15.471 -15.527 -15.337 -15.135 -14.840 
2.58621 -9.992 -12.342 -13.648 -14.576 -15.070 -15.210 -15.185 -15.028 -14.840 
3.10345 -9.963 -11.520 -12.728 -13.722 -14.264 -14.404 -14.474 -14.550 -14.348 
3.62069 -9.963 -10.793 -11.938 -12.946 -13.534 -13.788 -13.988 -13.999 -14.004 
4.13793 -9.539 -10.347 -11.435 -12.323 -13.085 -13.232 -13.549 -13.613 -13.580 
4.65517 -8.775 -9.849 -10.941 -11.965 -12.669 -12.862 -13.237 -13.278 -13.204 
5.17241 -8.024 -9.388 -10.600 -11.730 -12.347 -12.791 -13.060 -13.227 -13.200 
5.68966 -7.387 -8.947 -10.284 -11.491 -12.137 -12.440 -12.916 -13.062 -13.162 
6.20690 -6.804 -8.537 -9.915 -11.162 -11.995 -12.358 -12.803 -13.062 -13.021 
6.72414 -6.204 -8.233 -9.482 -10.826 -11.747 -12.167 -12.550 -12.896 -13.005 
7.24138 -5.611 -7.693 -9.328 -10.781 -11.564 -11.965 -12.550 -12.855 -13.021 
7.75862 -4.998 -7.144 -8.965 -10.321 -11.529 -11.965 -12.487 -12.855 -13.005 
8.27586 -4.422 -6.836 -8.646 -10.182 -11.496 -11.775 -12.487 -12.778 -13.000 
8.79310 -3.961 -6.351 -8.489 -10.135 -11.107 -11.628 -12.209 -12.772 -12.967 
9.31034 -3.275 -6.117 -8.065 -9.828 -10.893 -11.483 -12.071 -12.657 -12.792 
9.82759 -2.731 -5.556 -7.986 -9.543 -10.760 -11.321 -12.037 -12.488 -12.784 
10.34483 -2.046 -5.358 -7.495 -9.472 -10.422 -11.015 -11.897 -12.363 -12.758 
10.86207 -1.484 -4.927 -7.336 -9.290 -10.351 -10.878 -11.790 -12.361 -12.758 
11.37931 -0.900 -4.842 -6.828 -8.811 -9.706 -10.589 -11.432 -12.106 -12.582 
11.89655 -0.392 -3.563 -6.417 -8.487 -9.664 -10.273 -11.390 -12.009 -12.432 
12.41379 0.076 -3.144 -6.300 -8.453 -9.546 -10.211 -11.271 -11.997 -12.335 
12.93103 0.637 -2.874 -6.252 -8.215 -9.103 -10.028 -10.959 -11.841 -12.335 
13.44828 1.199 -2.824 -6.045 -7.876 -9.063 -9.859 -10.937 -11.675 -12.335 
13.96552 1.760 -1.848 -5.807 -7.312 -8.812 -9.429 -10.915 -11.608 -12.185 
14.48276 2.321 -1.546 -5.441 -7.245 -8.572 -9.302 -10.716 -11.441 -12.051 
15.00000 2.321 -1.109 -3.555 -7.036 -8.445 -8.892 -10.313 -11.403 -12.030 
