# t[days] Lbol[erg/s]
0.51724 4.45686e+41
1.03448 9.02529e+41
1.55172 9.02529e+41
2.06897 5.91503e+41
2.58621 3.60079e+41
3.10345 2.25876e+41
3.62069 1.46851e+41
4.13793 1.08123e+41
4.65517 7.70794e+40
5.17241 6.18991e+40
5.68966 4.92966e+40
6.20690 4.39257e+40
6.72414 3.41448e+40
7.24138 3.01390e+40
7.75862 2.64148e+40
8.27586 2.30103e+40
8.79310 2.01946e+40
9.31034 1.78715e+40
9.82759 1.58782e+40
10.34483 1.41073e+40
10.86207 1.25339e+40
11.37931 1.11359e+40
11.89655 9.89393e+39
12.41379 8.79044e+39
12.93103 7.81002e+39
13.44828 6.93895e+39
13.96552 6.16503e+39
14.48276 5.47743e+39
15.00000 4.86652e+39
