# t[days] Lbol[erg/s]
0.51724 2.09561e+41
1.03448 4.33300e+41
1.55172 4.33300e+41
2.06897 1.72256e+41
2.58621 8.15596e+40
3.10345 3.75386e+40
3.62069 2.02266e+40
4.13793 1.44459e+40
4.65517 9.38471e+39
5.17241 8.02763e+39
5.68966 6.94192e+39
6.20690 5.20326e+39
6.72414 4.50898e+39
7.24138 3.38923e+39
7.75862 2.78852e+39
8.27586 2.10484e+39
8.79310 1.88941e+39
9.31034 1.58970e+39
9.82759 1.27520e+39
10.34483 1.02293e+39
10.86207 8.20558e+38
11.37931 6.58224e+38
11.89655 5.28006e+38
12.41379 4.23549e+38
12.93103 3.39757e+38
13.44828 2.72542e+38
13.96552 2.18624e+38
14.48276 1.75373e+38
15.00000 1.40678e+38
