# t[days] u g r i z y J H K
0.51724 -15.260 -15.572 -15.556 -15.351 -15.225 -14.865 -14.772 -14.285 -13.818 
1.03448 -15.260 -16.175 -17.030 -17.006 -16.797 -16.582 -16.269 -15.909 -15.533 
1.55172 -14.642 -16.175 -17.030 -17.006 -16.855 -16.782 -16.656 -16.473 -16.156 
2.06897 -13.918 -15.754 -16.686 -16.961 -16.855 -16.782 -16.663 -16.487 -16.341 
2.58621 -13.205 -15.266 -16.291 -16.632 -16.695 -16.642 -16.663 -16.487 -16.350 
3.10345 -12.362 -14.735 -15.855 -16.283 -16.432 -16.507 -16.521 -16.469 -16.350 
3.62069 -11.674 -14.229 -15.375 -15.872 -16.111 -16.272 -16.392 -16.407 -16.270 
4.13793 -10.840 -13.662 -14.930 -15.517 -15.841 -15.987 -16.268 -16.312 -16.216 
4.65517 -9.999 -13.156 -14.511 -15.117 -15.483 -15.741 -16.051 -16.187 -16.133 
5.17241 -9.217 -12.565 -13.998 -14.714 -15.184 -15.457 -15.830 -16.078 -16.014 
5.68966 -8.438 -12.002 -13.567 -14.325 -14.860 -15.150 -15.638 -15.924 -15.921 
6.20690 -7.457 -11.429 -13.084 -13.931 -14.464 -14.838 -15.366 -15.740 -15.850 
6.72414 -6.607 -10.862 -12.687 -13.473 -14.109 -14.502 -15.157 -15.561 -15.700 
7.24138 -5.247 -10.275 -12.177 -13.048 -13.714 -14.170 -14.853 -15.420 -15.601 
7.75862 -5.164 -9.635 -11.609 -12.726 -13.427 -13.873 -14.694 -15.238 -15.454 
8.27586 -3.756 -9.144 -11.137 -12.205 -13.026 -13.498 -14.399 -15.034 -15.296 
8.79310 -3.122 -8.574 -10.686 -11.873 -12.633 -13.127 -14.131 -14.875 -15.178 
9.31034 -2.671 -8.067 -10.221 -11.476 -12.281 -12.844 -13.862 -14.637 -15.063 
9.82759 -0.022 -7.487 -9.631 -10.918 -11.814 -12.502 -13.584 -14.472 -14.874 
10.34483 0.419 -6.968 -9.296 -10.560 -11.480 -12.216 -13.342 -14.234 -14.773 
10.86207 1.553 -6.145 -8.726 -10.311 -11.043 -11.857 -13.077 -14.030 -14.634 
11.37931 2.686 -6.019 -8.367 -9.819 -10.736 -11.451 -12.850 -13.861 -14.506 
11.89655 3.819 -5.159 -7.824 -9.395 -10.308 -11.047 -12.558 -13.662 -14.328 
12.41379 4.952 -4.929 -7.439 -8.992 -10.072 -10.827 -12.291 -13.481 -14.141 
12.93103 6.085 -4.686 -7.315 -8.613 -9.685 -10.424 -11.916 -13.225 -13.976 
13.44828 7.219 -4.252 -6.519 -8.184 -9.237 -10.062 -11.744 -12.999 -13.846 
13.96552 8.352 -3.576 -6.436 -8.086 -9.024 -9.572 -11.394 -12.760 -13.604 
14.48276 9.485 -3.287 -5.749 -7.482 -8.658 -9.477 -11.103 -12.555 -13.378 
15.00000 9.485 -3.191 -4.675 -6.920 -7.989 -9.130 -10.804 -12.227 -13.168 
