# t[days] Lbol[erg/s]
1.22449 2.19389e+41
1.42857 2.30108e+41
1.63265 2.33020e+41
1.83673 2.33020e+41
2.04082 2.22062e+41
2.24490 2.20045e+41
2.44898 2.10278e+41
2.65306 2.00138e+41
2.85714 1.89116e+41
3.06122 1.78862e+41
3.26531 1.65597e+41
3.46939 1.53868e+41
3.67347 1.42880e+41
3.87755 1.32809e+41
4.08163 1.23305e+41
4.28571 1.14094e+41
4.48980 1.06940e+41
4.69388 9.86662e+40
4.89796 9.11637e+40
5.10204 8.66052e+40
5.30612 7.95555e+40
5.51020 7.47550e+40
5.71429 6.94583e+40
5.91837 6.51461e+40
