# t[days] Lbol[erg/s]
1.22449 9.55879e+40
1.42857 9.55879e+40
1.63265 8.87827e+40
1.83673 8.16442e+40
2.04082 8.00057e+40
2.24490 7.89856e+40
2.44898 7.80004e+40
2.65306 7.57115e+40
2.85714 7.57115e+40
3.06122 7.57115e+40
3.26531 7.56484e+40
3.46939 7.56484e+40
3.67347 7.54713e+40
3.87755 7.61875e+40
4.08163 7.45428e+40
4.28571 7.45428e+40
4.48980 7.43370e+40
4.69388 7.42377e+40
4.89796 7.32350e+40
5.10204 7.32206e+40
5.30612 7.15769e+40
5.51020 7.11520e+40
5.71429 6.98430e+40
5.91837 6.83443e+40
