# t[days] Lbol[erg/s]
1.22449 3.15916e+41
1.42857 3.37379e+41
1.63265 3.37379e+41
1.83673 3.36494e+41
2.04082 3.24224e+41
2.24490 3.16602e+41
2.44898 3.02890e+41
2.65306 2.87819e+41
2.85714 2.69445e+41
3.06122 2.52895e+41
3.26531 2.31421e+41
3.46939 2.16039e+41
3.67347 1.98565e+41
3.87755 1.83278e+41
4.08163 1.68264e+41
4.28571 1.56196e+41
4.48980 1.44488e+41
4.69388 1.32315e+41
4.89796 1.22337e+41
5.10204 1.14149e+41
5.30612 1.05261e+41
5.51020 9.89208e+40
5.71429 9.12328e+40
5.91837 8.47940e+40
