# t[days] Lbol[erg/s]
1.22449 5.59723e+41
1.42857 5.59723e+41
1.63265 5.33480e+41
1.83673 4.96974e+41
2.04082 4.64918e+41
2.24490 4.32491e+41
2.44898 4.00085e+41
2.65306 3.65008e+41
2.85714 3.37945e+41
3.06122 3.13058e+41
3.26531 2.85256e+41
3.46939 2.62752e+41
3.67347 2.39648e+41
3.87755 2.24115e+41
4.08163 2.06080e+41
4.28571 1.89031e+41
4.48980 1.75813e+41
4.69388 1.62865e+41
4.89796 1.51971e+41
5.10204 1.39965e+41
5.30612 1.30398e+41
5.51020 1.21927e+41
5.71429 1.12225e+41
5.91837 1.05111e+41
