# t[days] Lbol[erg/s]
1.22449 1.72578e+40
1.42857 1.72578e+40
1.63265 1.44663e+40
1.83673 1.22308e+40
2.04082 1.05044e+40
2.24490 9.14844e+39
2.44898 8.00483e+39
2.65306 7.25227e+39
2.85714 6.46344e+39
3.06122 5.88143e+39
3.26531 5.38915e+39
3.46939 4.95951e+39
3.67347 4.48679e+39
3.87755 4.18088e+39
4.08163 3.79940e+39
4.28571 3.57568e+39
4.48980 3.35915e+39
4.69388 3.06514e+39
4.89796 2.88759e+39
5.10204 2.68678e+39
5.30612 2.51372e+39
5.51020 2.33906e+39
5.71429 2.17806e+39
5.91837 2.06356e+39
