# t[days] Lbol[erg/s]
1.22449 9.33697e+40
1.42857 9.33697e+40
1.63265 9.15710e+40
1.83673 8.80363e+40
2.04082 8.78282e+40
2.24490 8.77485e+40
2.44898 8.65283e+40
2.65306 8.65283e+40
2.85714 8.72041e+40
3.06122 8.79062e+40
3.26531 8.79062e+40
3.46939 8.60342e+40
3.67347 8.60342e+40
3.87755 8.57087e+40
4.08163 8.45757e+40
4.28571 8.36324e+40
4.48980 8.11277e+40
4.69388 8.10140e+40
4.89796 7.88605e+40
5.10204 7.72581e+40
5.30612 7.48650e+40
5.51020 7.30802e+40
5.71429 6.97524e+40
5.91837 6.93268e+40
