# t[days] u g r i z y J H K
1.22449 -10.474 -11.900 -13.048 -13.763 -14.089 -14.095 -13.924 -13.740 -13.363 
1.42857 -10.474 -11.900 -13.048 -13.771 -14.164 -14.235 -14.106 -13.946 -13.516 
1.63265 -10.041 -11.772 -13.042 -13.775 -14.228 -14.326 -14.252 -14.099 -13.801 
1.83673 -9.631 -11.607 -12.989 -13.775 -14.228 -14.348 -14.332 -14.129 -13.918 
2.04082 -9.268 -11.445 -12.897 -13.702 -14.195 -14.348 -14.334 -14.258 -14.018 
2.24490 -8.780 -11.248 -12.757 -13.634 -14.128 -14.313 -14.345 -14.273 -14.158 
2.44898 -8.484 -10.968 -12.594 -13.518 -14.075 -14.266 -14.345 -14.303 -14.159 
2.65306 -8.033 -10.773 -12.423 -13.445 -13.972 -14.238 -14.334 -14.326 -14.177 
2.85714 -7.711 -10.535 -12.280 -13.348 -13.917 -14.108 -14.273 -14.303 -14.177 
3.06122 -7.417 -10.249 -12.106 -13.164 -13.759 -14.019 -14.220 -14.266 -14.172 
3.26531 -6.951 -10.021 -11.971 -13.040 -13.677 -13.888 -14.170 -14.217 -14.169 
3.46939 -6.544 -9.792 -11.717 -12.913 -13.523 -13.812 -14.068 -14.211 -14.128 
3.67347 -6.000 -9.500 -11.556 -12.715 -13.389 -13.720 -14.000 -14.159 -14.123 
3.87755 -5.689 -9.331 -11.323 -12.568 -13.258 -13.541 -13.937 -14.112 -14.082 
4.08163 -5.528 -8.982 -11.067 -12.422 -13.123 -13.454 -13.835 -14.010 -14.066 
4.28571 -4.505 -8.764 -10.920 -12.279 -13.016 -13.281 -13.723 -13.964 -13.982 
4.48980 -4.410 -8.485 -10.715 -12.061 -12.806 -13.150 -13.643 -13.912 -13.924 
4.69388 -4.065 -8.173 -10.461 -11.857 -12.654 -13.033 -13.527 -13.819 -13.879 
4.89796 -3.805 -7.955 -10.285 -11.680 -12.489 -12.896 -13.439 -13.765 -13.829 
5.10204 -3.732 -7.667 -9.998 -11.511 -12.337 -12.765 -13.276 -13.688 -13.774 
5.30612 -2.892 -7.340 -9.785 -11.256 -12.171 -12.585 -13.201 -13.599 -13.740 
5.51020 -2.727 -7.073 -9.591 -11.131 -11.991 -12.464 -13.083 -13.523 -13.658 
5.71429 -2.408 -6.791 -9.292 -10.965 -11.866 -12.326 -12.990 -13.455 -13.643 
5.91837 -1.754 -6.606 -9.136 -10.762 -11.652 -12.143 -12.889 -13.360 -13.566 
