# t[days] Lbol[erg/s]
0.51724 7.55009e+40
1.03448 7.97098e+41
1.55172 8.74087e+41
2.06897 8.74087e+41
2.58621 7.66205e+41
3.10345 6.33362e+41
3.62069 4.75550e+41
4.13793 3.41415e+41
4.65517 2.46724e+41
5.17241 1.80905e+41
5.68966 1.31532e+41
6.20690 1.02158e+41
6.72414 8.09038e+40
7.24138 6.62556e+40
7.75862 5.72803e+40
8.27586 4.81513e+40
8.79310 4.21777e+40
9.31034 3.76471e+40
9.82759 3.28712e+40
10.34483 2.87011e+40
10.86207 2.50601e+40
11.37931 2.18810e+40
11.89655 1.91052e+40
12.41379 1.66815e+40
12.93103 1.45653e+40
13.44828 1.27175e+40
13.96552 1.11042e+40
14.48276 9.69553e+39
15.00000 8.46555e+39
