# t[days] Lbol[erg/s]
0.51724 4.52563e+40
1.03448 2.37717e+41
1.55172 3.49021e+41
2.06897 3.49021e+41
2.58621 3.06616e+41
3.10345 2.59934e+41
3.62069 2.12487e+41
4.13793 1.57038e+41
4.65517 1.12590e+41
5.17241 8.39791e+40
5.68966 5.65315e+40
6.20690 4.40932e+40
6.72414 3.35506e+40
7.24138 2.76822e+40
7.75862 2.30004e+40
8.27586 2.01401e+40
8.79310 1.68512e+40
9.31034 1.52924e+40
9.82759 1.35372e+40
10.34483 1.19834e+40
10.86207 1.06079e+40
11.37931 9.39033e+39
11.89655 8.31250e+39
12.41379 7.35839e+39
12.93103 6.51380e+39
13.44828 5.76614e+39
13.96552 5.10430e+39
14.48276 4.51843e+39
15.00000 3.99980e+39
