# t[days] Lbol[erg/s]
0.51724 2.82979e+40
1.03448 1.41772e+41
1.55172 3.61212e+41
2.06897 3.64152e+41
2.58621 3.64152e+41
3.10345 3.01997e+41
3.62069 2.55345e+41
4.13793 2.15439e+41
4.65517 1.89169e+41
5.17241 1.51920e+41
5.68966 1.10467e+41
6.20690 8.97680e+40
6.72414 6.38215e+40
7.24138 5.43173e+40
7.75862 4.17666e+40
8.27586 3.35381e+40
8.79310 2.76688e+40
9.31034 2.38492e+40
9.82759 2.03883e+40
10.34483 1.74296e+40
10.86207 1.49003e+40
11.37931 1.27380e+40
11.89655 1.08896e+40
12.41379 9.30931e+39
12.93103 7.95839e+39
13.44828 6.80350e+39
13.96552 5.81621e+39
14.48276 4.97218e+39
15.00000 4.25064e+39
