# t[days] u g r i z y J H K
0.51724 -12.391 -12.988 -13.556 -12.496 -11.539 -7.928 -12.315 -10.890 -12.754 
1.03448 -13.247 -14.063 -14.587 -14.918 -14.293 -14.164 -13.464 -12.437 -13.055 
1.55172 -13.568 -14.552 -15.162 -15.598 -15.399 -15.492 -14.614 -13.983 -13.357 
2.06897 -13.568 -14.552 -15.162 -15.717 -15.889 -15.497 -15.033 -14.672 -13.854 
2.58621 -13.483 -14.344 -15.149 -15.717 -15.889 -15.603 -15.049 -14.684 -13.917 
3.10345 -13.024 -14.099 -14.973 -15.631 -15.834 -15.603 -15.033 -14.684 -14.373 
3.62069 -12.562 -13.932 -14.803 -15.379 -15.566 -15.520 -14.920 -14.554 -14.373 
4.13793 -12.060 -13.521 -14.643 -15.275 -15.537 -15.503 -14.897 -14.424 -14.097 
4.65517 -11.796 -13.432 -14.548 -15.149 -15.489 -15.316 -14.651 -14.225 -13.779 
5.17241 -11.246 -13.107 -14.315 -14.971 -15.151 -14.960 -14.492 -13.964 -13.500 
5.68966 -10.648 -12.977 -14.148 -14.773 -14.860 -14.570 -14.141 -13.740 -13.469 
6.20690 -10.060 -12.479 -13.788 -14.405 -14.536 -14.241 -13.909 -13.627 -13.329 
6.72414 -9.488 -12.075 -13.532 -14.214 -14.200 -14.029 -13.431 -13.429 -12.967 
7.24138 -8.921 -11.827 -13.253 -13.904 -14.009 -13.882 -13.336 -13.046 -12.687 
7.75862 -8.460 -11.589 -13.053 -13.670 -13.694 -13.286 -12.993 -12.834 -12.628 
8.27586 -7.950 -11.268 -12.756 -13.473 -13.497 -13.066 -12.777 -12.768 -12.613 
8.79310 -7.514 -10.890 -12.564 -13.272 -13.196 -12.976 -12.546 -12.601 -12.574 
9.31034 -7.137 -10.750 -12.368 -12.988 -13.050 -12.708 -12.403 -12.463 -12.378 
9.82759 -6.529 -10.453 -12.171 -12.834 -12.870 -12.475 -12.211 -12.409 -12.288 
10.34483 -6.023 -10.164 -11.964 -12.658 -12.701 -12.402 -12.182 -12.202 -12.095 
10.86207 -5.971 -10.012 -11.806 -12.535 -12.533 -12.255 -12.067 -12.202 -12.095 
11.37931 -5.795 -9.841 -11.658 -12.389 -12.437 -12.073 -12.015 -12.168 -12.009 
11.89655 -5.617 -9.601 -11.430 -12.222 -12.292 -11.986 -11.926 -12.151 -12.009 
12.41379 -5.015 -9.362 -11.303 -12.102 -12.066 -11.735 -11.903 -12.046 -12.086 
12.93103 -4.624 -9.091 -11.084 -11.937 -11.985 -11.709 -11.783 -12.015 -12.086 
13.44828 -4.431 -8.822 -10.990 -11.844 -11.780 -11.594 -11.714 -12.014 -12.003 
13.96552 -3.700 -8.378 -10.775 -11.682 -11.732 -11.489 -11.644 -11.948 -11.937 
14.48276 -3.316 -8.294 -10.597 -11.485 -11.604 -11.441 -11.615 -11.853 -11.882 
15.00000 -2.701 -8.094 -10.264 -11.381 -11.458 -11.277 -11.410 -11.842 -11.813 
