# t[days] u g r i z y J H K
0.51724 -12.181 -13.001 -13.224 -12.713 -12.086 -10.689 -9.420 -9.606 -7.646 
1.03448 -12.181 -13.001 -13.224 -12.713 -12.086 -10.689 -9.420 -9.606 -7.793 
1.55172 -11.106 -12.451 -12.580 -11.903 -10.721 -9.217 -8.838 -8.830 -8.336 
2.06897 -9.895 -11.413 -11.676 -10.925 -9.688 -9.091 -8.780 -8.830 -8.403 
2.58621 -8.884 -10.755 -11.019 -10.571 -9.678 -9.091 -8.838 -8.837 -9.373 
3.10345 -8.109 -10.176 -10.622 -10.214 -9.560 -9.010 -8.865 -9.285 -9.540 
3.62069 -7.170 -9.542 -10.157 -9.948 -9.397 -8.763 -9.004 -9.450 -9.642 
4.13793 -6.169 -8.850 -9.676 -9.722 -9.281 -8.485 -9.004 -9.450 -9.722 
4.65517 -5.196 -8.080 -9.059 -9.232 -8.900 -8.404 -8.995 -9.468 -9.813 
5.17241 -3.760 -7.258 -8.546 -8.710 -8.687 -8.350 -8.737 -9.414 -9.813 
5.68966 -2.549 -6.449 -7.821 -8.243 -8.128 -8.048 -8.573 -9.244 -9.759 
6.20690 -1.309 -5.428 -6.920 -7.550 -7.640 -7.494 -8.143 -9.187 -9.634 
6.72414 10.909 -4.263 -6.189 -6.825 -7.068 -7.080 -7.874 -8.977 -9.569 
7.24138 14.324 -3.275 -5.208 -6.389 -6.226 -6.449 -7.652 -8.646 -9.430 
7.75862 17.740 -2.496 -4.993 -5.490 -5.958 -5.637 -7.301 -8.507 -9.262 
8.27586 21.155 -1.117 -3.724 -4.939 -5.692 -5.573 -6.748 -8.249 -9.078 
8.79310 24.571 0.387 -2.642 -4.685 -4.906 -5.115 -6.607 -7.981 -8.878 
9.31034 27.986 1.550 -2.278 -3.273 -4.611 -4.748 -5.937 -7.851 -8.622 
9.82759 31.402 2.713 -1.396 -3.108 -3.343 -4.005 -5.563 -7.286 -8.507 
10.34483 34.817 3.876 -1.396 -3.069 -3.271 -3.498 -5.312 -7.217 -8.098 
10.86207 38.232 5.039 3.728 -1.174 -2.964 -3.498 -4.959 -6.882 -7.992 
11.37931 41.648 6.202 5.218 -0.968 1.221 -2.839 -4.731 -6.392 -7.802 
11.89655 45.063 7.365 6.708 -0.433 2.447 -0.405 -3.851 -6.181 -7.585 
12.41379 48.479 8.528 8.199 0.102 3.672 4.688 -3.378 -5.797 -7.311 
12.93103 51.894 9.691 9.689 0.777 4.898 6.022 -3.104 -5.686 -7.081 
13.44828 55.310 10.854 11.179 1.451 6.123 7.355 -2.355 -5.395 -6.999 
13.96552 58.725 12.017 12.670 2.126 7.348 8.689 -2.325 -4.785 -6.557 
14.48276 62.141 13.180 14.160 2.801 8.574 10.023 -1.892 -4.561 -6.324 
15.00000 62.141 13.180 14.160 2.801 8.574 10.023 -1.680 -4.078 -5.831 
