# t[days] Lbol[erg/s]
0.51724 3.22374e+40
1.03448 2.33828e+41
1.55172 6.16755e+41
2.06897 6.16755e+41
2.58621 5.59742e+41
3.10345 5.00529e+41
3.62069 4.56323e+41
4.13793 3.87201e+41
4.65517 3.25175e+41
5.17241 2.61105e+41
5.68966 2.11019e+41
6.20690 1.60365e+41
6.72414 1.27817e+41
7.24138 1.02492e+41
7.75862 7.88492e+40
8.27586 6.30163e+40
8.79310 5.15088e+40
9.31034 4.53771e+40
9.82759 3.79898e+40
10.34483 3.18051e+40
10.86207 2.66272e+40
11.37931 2.22924e+40
11.89655 1.86632e+40
12.41379 1.56248e+40
12.93103 1.30811e+40
13.44828 1.09515e+40
13.96552 9.16864e+39
14.48276 7.67599e+39
15.00000 6.42635e+39
