# t[days] Lbol[erg/s]
0.51724 1.53251e+41
1.03448 6.26519e+41
1.55172 6.26519e+41
2.06897 6.14091e+41
2.58621 4.73333e+41
3.10345 3.29067e+41
3.62069 2.23760e+41
4.13793 1.44675e+41
4.65517 1.00745e+41
5.17241 7.41570e+40
5.68966 5.98216e+40
6.20690 4.75127e+40
6.72414 4.05221e+40
7.24138 3.36272e+40
7.75862 2.89276e+40
8.27586 2.54038e+40
8.79310 2.18206e+40
9.31034 1.96406e+40
9.82759 1.74784e+40
10.34483 1.55542e+40
10.86207 1.38418e+40
11.37931 1.23179e+40
11.89655 1.09618e+40
12.41379 9.75503e+39
12.93103 8.68109e+39
13.44828 7.72538e+39
13.96552 6.87489e+39
14.48276 6.11802e+39
15.00000 5.44448e+39
