# t[days] Lbol[erg/s]
0.51724 3.51902e+40
1.03448 3.51902e+40
1.55172 2.33487e+40
2.06897 9.48573e+39
2.58621 4.64823e+39
3.10345 3.06631e+39
3.62069 2.23139e+39
4.13793 1.70706e+39
4.65517 1.35927e+39
5.17241 1.09861e+39
5.68966 9.17060e+38
6.20690 7.75043e+38
6.72414 6.51026e+38
7.24138 5.72602e+38
7.75862 4.90448e+38
8.27586 4.38987e+38
8.79310 3.88498e+38
9.31034 3.50878e+38
9.82759 3.09234e+38
10.34483 2.72533e+38
10.86207 2.40188e+38
11.37931 2.11681e+38
11.89655 1.86558e+38
12.41379 1.64417e+38
12.93103 1.44903e+38
13.44828 1.27705e+38
13.96552 1.12549e+38
14.48276 9.91912e+37
15.00000 8.74188e+37
