# t[days] Lbol[erg/s]
0.51724 7.52631e+40
1.03448 8.27590e+41
1.55172 8.27590e+41
2.06897 7.99466e+41
2.58621 7.01973e+41
3.10345 5.23673e+41
3.62069 3.99337e+41
4.13793 2.63603e+41
4.65517 1.97967e+41
5.17241 1.43784e+41
5.68966 1.07979e+41
6.20690 8.26811e+40
6.72414 6.57989e+40
7.24138 5.39883e+40
7.75862 4.61660e+40
8.27586 4.05326e+40
8.79310 3.51498e+40
9.31034 3.12841e+40
9.82759 2.84709e+40
10.34483 2.59108e+40
10.86207 2.35808e+40
11.37931 2.14604e+40
11.89655 1.95306e+40
12.41379 1.77744e+40
12.93103 1.61761e+40
13.44828 1.47215e+40
13.96552 1.33977e+40
14.48276 1.21929e+40
15.00000 1.10965e+40
