# t[days] Lbol[erg/s]
0.51724 3.20071e+40
1.03448 1.44258e+41
1.55172 3.58197e+41
2.06897 3.64292e+41
2.58621 3.64292e+41
3.10345 3.03404e+41
3.62069 2.54553e+41
4.13793 2.13726e+41
4.65517 1.88837e+41
5.17241 1.52841e+41
5.68966 1.10391e+41
6.20690 8.91893e+40
6.72414 6.42340e+40
7.24138 5.42854e+40
7.75862 4.17990e+40
8.27586 3.35966e+40
8.79310 2.75214e+40
9.31034 2.39172e+40
9.82759 2.04037e+40
10.34483 1.74063e+40
10.86207 1.48492e+40
11.37931 1.26678e+40
11.89655 1.08068e+40
12.41379 9.21922e+39
12.93103 7.86487e+39
13.44828 6.70948e+39
13.96552 5.72382e+39
14.48276 4.88296e+39
15.00000 4.16563e+39
