# t[days] Lbol[erg/s]
0.51724 7.74501e+40
1.03448 3.88939e+41
1.55172 4.06657e+41
2.06897 4.06657e+41
2.58621 3.37588e+41
3.10345 2.55357e+41
3.62069 1.88109e+41
4.13793 1.31666e+41
4.65517 8.98512e+40
5.17241 6.29225e+40
5.68966 4.73399e+40
6.20690 3.71684e+40
6.72414 3.03121e+40
7.24138 2.55318e+40
7.75862 2.18181e+40
8.27586 1.89387e+40
8.79310 1.61678e+40
9.31034 1.47976e+40
9.82759 1.29947e+40
10.34483 1.14114e+40
10.86207 1.00210e+40
11.37931 8.80008e+39
11.89655 7.72788e+39
12.41379 6.78632e+39
12.93103 5.95947e+39
13.44828 5.23337e+39
13.96552 4.59574e+39
14.48276 4.03580e+39
15.00000 3.54408e+39
