# t[days] u g r i z y J H K
0.51724 -10.761 -11.585 -13.636 -8.199 -10.205 -9.296 -9.194 -11.418 0.000 
1.03448 -14.067 -14.322 -15.218 -15.181 -15.263 -14.760 -13.780 -13.603 -1.798 
1.55172 -14.102 -14.973 -15.678 -16.213 -16.036 -15.828 -15.131 -13.832 -14.676 
2.06897 -14.102 -14.973 -15.678 -16.242 -16.281 -16.089 -15.598 -15.024 -14.676 
2.58621 -13.704 -14.791 -15.615 -16.242 -16.421 -16.115 -15.598 -15.076 -14.627 
3.10345 -13.034 -14.405 -15.514 -16.125 -16.281 -16.115 -15.494 -15.087 -14.419 
3.62069 -12.714 -14.363 -15.468 -16.104 -16.257 -15.928 -15.339 -15.087 -14.213 
4.13793 -12.082 -14.114 -15.261 -15.927 -16.030 -15.769 -15.261 -14.731 -14.087 
4.65517 -11.349 -13.797 -15.053 -15.751 -15.828 -15.502 -15.006 -14.516 -14.017 
5.17241 -11.126 -13.518 -14.960 -15.530 -15.673 -15.287 -14.736 -14.506 -13.963 
5.68966 -10.311 -13.161 -14.576 -15.334 -15.332 -14.829 -14.404 -14.235 -13.704 
6.20690 -9.905 -12.847 -14.322 -14.947 -14.975 -14.652 -14.290 -14.196 -13.704 
6.72414 -9.656 -12.534 -14.102 -14.618 -14.611 -14.192 -14.036 -13.730 -13.704 
7.24138 -9.071 -12.209 -13.707 -14.398 -14.428 -14.001 -13.804 -13.566 -13.364 
7.75862 -8.032 -11.756 -13.481 -14.040 -14.120 -13.694 -13.274 -13.470 -13.110 
8.27586 -7.806 -11.538 -13.158 -13.884 -13.873 -13.662 -13.273 -13.353 -13.026 
8.79310 -7.229 -11.145 -12.900 -13.574 -13.584 -13.257 -12.966 -13.201 -12.909 
9.31034 -6.679 -10.833 -12.763 -13.421 -13.445 -13.114 -12.902 -13.166 -12.909 
9.82759 -6.485 -10.715 -12.490 -13.220 -13.189 -12.872 -12.874 -12.962 -12.994 
10.34483 -5.870 -10.333 -12.245 -13.064 -13.051 -12.842 -12.686 -12.915 -12.994 
10.86207 -4.962 -10.114 -12.029 -12.848 -12.959 -12.518 -12.621 -12.841 -12.844 
11.37931 -4.962 -9.701 -11.871 -12.630 -12.730 -12.386 -12.597 -12.798 -12.840 
11.89655 -4.962 -9.400 -11.673 -12.492 -12.520 -12.276 -12.422 -12.726 -12.824 
12.41379 -4.564 -9.136 -11.417 -12.301 -12.372 -12.011 -12.304 -12.673 -12.824 
12.93103 -3.515 -9.026 -11.247 -12.121 -12.153 -11.993 -12.228 -12.640 -12.812 
13.44828 -2.991 -8.663 -10.968 -11.880 -12.035 -11.949 -12.109 -12.467 -12.639 
13.96552 -2.986 -8.453 -10.727 -11.773 -11.917 -11.635 -12.059 -12.441 -12.639 
14.48276 -1.639 -8.085 -10.480 -11.557 -11.887 -11.528 -11.950 -12.374 -12.614 
15.00000 -1.373 -7.547 -10.191 -11.289 -11.578 -11.387 -11.772 -12.222 -12.387 
